
INFO 	2016-04-05 17:38:45 	[preliminary_checks] 	1618f57a8_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 17:38:45 	[preliminary_checks] 	data for 1618f57a8_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_51720e9cf
INFO 	2016-04-05 17:42:42 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 17:42:43 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 17:42:45 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 17:42:45 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 17:43:19 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 17:43:19 	[preliminary_checks] 	step time for completion (seconds) = 276

INFO 	2016-04-05 17:43:22 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 17:43:22 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 17:43:22 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 17:43:43 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 17:43:43 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-05 17:43:44 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 17:43:44 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 17:43:44 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 18:35:52 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 18:35:52 	[trim_reads_trimmomatic] 	reads after trimming = 149976359
INFO 	2016-04-05 18:36:35 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 18:36:35 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 18:36:35 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 18:36:35 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3171

INFO 	2016-04-05 18:36:44 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 18:36:44 	[align_and_merge] 	assembly version = hg38_mmtv
