
INFO 	2016-04-15 00:26:45 	[preliminary_checks] 	2d656cab7_45234cdca found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 00:26:45 	[preliminary_checks] 	data for 2d656cab7_45234cdca will be stored at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca
INFO 	2016-04-15 00:30:31 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 00:30:33 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 00:30:34 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 00:30:34 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 00:30:53 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 00:30:53 	[preliminary_checks] 	step time for completion (seconds) = 250

INFO 	2016-04-15 00:30:56 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 00:30:56 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 00:30:56 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/2d656cab7_45234cdca/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 00:31:18 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 00:31:18 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-04-15 00:31:19 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 00:31:19 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 00:31:19 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 01:23:31 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 01:23:31 	[trim_reads_trimmomatic] 	reads after trimming = 144498127
INFO 	2016-04-15 01:23:51 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
