
INFO 	2016-04-14 11:06:18 	[preliminary_checks] 	4369ff754_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:06:18 	[preliminary_checks] 	data for 4369ff754_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a
INFO 	2016-04-14 11:07:04 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 11:07:06 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-14 11:07:08 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 11:07:08 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 11:07:10 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 11:07:22 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 11:07:22 	[preliminary_checks] 	step time for completion (seconds) = 69

INFO 	2016-04-14 11:07:26 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:07:26 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 11:07:26 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-14 11:07:51 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 11:07:51 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 27

INFO 	2016-04-14 11:07:54 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 11:07:54 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 11:07:54 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 11:17:34 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 11:17:35 	[trim_reads_trimmomatic] 	reads after trimming = 26657166
INFO 	2016-04-14 11:18:04 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 11:18:04 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 11:18:04 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 11:18:04 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 610

INFO 	2016-04-14 11:18:15 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-14 11:18:15 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-14 11:18:15 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:18:15 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 11:18:15 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 11:18:15 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 12:17:06 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/logs/mm10/4369ff754_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 12:17:20 	[align_and_merge] 	step time for completion (seconds) = 3554

INFO 	2016-04-14 12:17:24 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 12:23:35 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.836400276008
INFO 	2016-04-14 12:23:35 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.781675328878
INFO 	2016-04-14 12:23:35 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 17054349
INFO 	2016-04-14 12:23:35 	[post_mapping_statistics] 	counts-to-distance slope = -1.02463130833
TIME 	2016-04-14 12:23:51 	[post_mapping_statistics] 	step time for completion (seconds) = 387

INFO 	2016-04-14 12:23:56 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 12:23:56 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/results/mm10/filtered_reads
INFO 	2016-04-14 12:23:56 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 12:23:56 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 12:23:56 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 12:27:11 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 12:27:27 	[reads_filtering] 	step time for completion (seconds) = 214

INFO 	2016-04-14 12:27:29 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 12:27:29 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 12:27:29 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 12:27:29 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 12:31:37 	[post_filtering_statistics] 	step time for completion (seconds) = 248

INFO 	2016-04-14 12:31:40 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 12:36:52 	[index_contacts] 	step time for completion (seconds) = 312

INFO 	2016-04-14 12:36:54 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 10 files...
TIME 	2016-04-14 12:49:38 	[map_to_bam] 	step time for completion (seconds) = 764

INFO 	2016-04-14 12:49:41 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0313/job_scripts/2271290: line 747: 13715 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 17:03:04 	[downstream_bam] 	step time for completion (seconds) = 15203

INFO 	2016-04-14 17:03:06 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 17:03:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 17:03:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/4369ff754_ac9f54f0a/mapped_reads
TIME 	2016-04-14 17:03:10 	[clean_up] 	step time for completion (seconds) = 4


