
INFO 	2016-04-05 22:28:25 	[preliminary_checks] 	66950b082_20edef23a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 22:28:25 	[preliminary_checks] 	data for 66950b082_20edef23a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a
INFO 	2016-04-05 22:29:30 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 22:29:31 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 22:29:33 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 22:29:33 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 22:29:54 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 22:29:54 	[preliminary_checks] 	step time for completion (seconds) = 91

INFO 	2016-04-05 22:29:57 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 22:29:57 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 22:29:57 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_20edef23a/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 22:30:16 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 22:30:16 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-05 22:30:18 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 22:30:18 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
