
INFO 	2016-04-05 19:48:38 	[preliminary_checks] 	66950b082_df6973bc7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 19:48:38 	[preliminary_checks] 	data for 66950b082_df6973bc7 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7
INFO 	2016-04-05 19:49:45 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 19:49:47 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 19:49:49 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 19:49:49 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 19:50:12 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 19:50:12 	[preliminary_checks] 	step time for completion (seconds) = 95

INFO 	2016-04-05 19:50:16 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 19:50:16 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 19:50:16 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 19:50:36 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 19:50:36 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-05 19:50:38 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 19:50:38 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 19:50:38 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 20:07:42 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 20:07:42 	[trim_reads_trimmomatic] 	reads after trimming = 48649389
INFO 	2016-04-05 20:08:06 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 20:08:06 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 20:08:06 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 20:08:06 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1048

INFO 	2016-04-05 20:08:13 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 20:08:13 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 20:08:13 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 20:08:13 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 20:08:13 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 20:08:13 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 22:00:26 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/logs/hg38_mmtv/66950b082_df6973bc7_align_and_merge_paired_end.log
TIME 	2016-04-05 22:00:50 	[align_and_merge] 	step time for completion (seconds) = 6762

INFO 	2016-04-05 22:00:55 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 22:11:07 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.832426528522
INFO 	2016-04-05 22:11:07 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.795768164735
INFO 	2016-04-05 22:11:07 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 30742644
INFO 	2016-04-05 22:11:07 	[post_mapping_statistics] 	counts-to-distance slope = -1.2071208738
TIME 	2016-04-05 22:11:19 	[post_mapping_statistics] 	step time for completion (seconds) = 624

INFO 	2016-04-05 22:11:26 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 22:11:26 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 22:11:26 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 22:11:26 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 22:11:26 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 22:16:34 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 22:16:48 	[reads_filtering] 	step time for completion (seconds) = 326

INFO 	2016-04-05 22:16:50 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/plots/hg38_mmtv/post_filtering_statistics:
