
INFO 	2016-04-06 11:53:48 	[preliminary_checks] 	9a7c4a68d_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 11:53:48 	[preliminary_checks] 	data for 9a7c4a68d_7bf1478ce will be stored at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce
INFO 	2016-04-06 11:57:53 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 11:57:55 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 11:57:56 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 11:57:56 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 11:58:35 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 11:58:35 	[preliminary_checks] 	step time for completion (seconds) = 289

INFO 	2016-04-06 11:58:39 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 11:58:39 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 11:58:39 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 11:59:15 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 11:59:15 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 38

INFO 	2016-04-06 11:59:16 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 11:59:16 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 11:59:16 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 13:04:59 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 13:04:59 	[trim_reads_trimmomatic] 	reads after trimming = 179180730
INFO 	2016-04-06 13:05:32 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 13:05:32 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 13:05:32 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 13:05:32 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3976

INFO 	2016-04-06 13:05:43 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 13:05:43 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 13:05:43 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 13:05:43 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 13:05:43 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 13:05:43 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 21:06:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/logs/hg38_mmtv/9a7c4a68d_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-04-06 21:08:50 	[align_and_merge] 	step time for completion (seconds) = 28996

INFO 	2016-04-06 21:09:09 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 22:44:30 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.891947225575
INFO 	2016-04-06 22:44:30 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.866957657779
INFO 	2016-04-06 22:44:30 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 127394305
INFO 	2016-04-06 22:44:30 	[post_mapping_statistics] 	counts-to-distance slope = -1.25192037014
TIME 	2016-04-06 22:44:39 	[post_mapping_statistics] 	step time for completion (seconds) = 5730

INFO 	2016-04-06 22:45:02 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 22:45:02 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 22:45:02 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 22:45:02 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 22:45:02 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 23:05:06 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 23:06:48 	[reads_filtering] 	step time for completion (seconds) = 1327

INFO 	2016-04-06 23:06:51 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 23:06:51 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 23:06:51 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 23:06:51 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-07 00:10:13 	[post_filtering_statistics] 	step time for completion (seconds) = 3802

INFO 	2016-04-07 00:10:16 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-07 00:56:55 	[index_contacts] 	step time for completion (seconds) = 2799

