
INFO 	2016-04-15 01:37:25 	[preliminary_checks] 	NcoI_T60 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:37:25 	[preliminary_checks] 	data for NcoI_T60 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60
INFO 	2016-04-15 01:40:25 	[add_to_metadata] 	-t <table>, -s <sample_id>, -u <time_stamp> -a <attribute> and or -v <value> are not provided; exiting...
INFO 	2016-04-15 01:40:25 	[add_to_metadata] 	t=hic s=NcoI_T60 u=2016-04-15-01-36 a=SEQUENCING_FLOWCELL_LANE v=
INFO 	2016-04-15 01:40:25 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-15 01:40:26 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-15 01:40:28 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:40:28 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 01:40:56 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 01:40:56 	[preliminary_checks] 	step time for completion (seconds) = 213

INFO 	2016-04-15 01:41:00 	[raw_fastqs_quality_plots] 	restriction enzyme = NcoI
INFO 	2016-04-15 01:41:00 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 01:41:00 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 01:41:16 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 01:41:16 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 18

INFO 	2016-04-15 01:41:18 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 01:41:18 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 01:41:18 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 02:50:16 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 02:50:16 	[trim_reads_trimmomatic] 	reads after trimming = 179868366
INFO 	2016-04-15 02:50:40 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 02:50:40 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 02:50:40 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 02:50:40 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4162

INFO 	2016-04-15 02:50:46 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 02:50:46 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 02:50:46 	[align_and_merge] 	restriction enzyme = NcoI
INFO 	2016-04-15 02:50:46 	[align_and_merge] 	read length = 50
INFO 	2016-04-15 02:50:46 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 02:50:46 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 10:32:05 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/logs/hg38_mmtv/NcoI_T60_align_and_merge_paired_end.log
TIME 	2016-04-15 10:34:44 	[align_and_merge] 	step time for completion (seconds) = 27842

INFO 	2016-04-15 10:34:49 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 11:14:44 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.919837093533
INFO 	2016-04-15 11:14:44 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.902275995547
INFO 	2016-04-15 11:14:44 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 122029631
INFO 	2016-04-15 11:14:44 	[post_mapping_statistics] 	counts-to-distance slope = -1.11515268489
TIME 	2016-04-15 11:14:51 	[post_mapping_statistics] 	step time for completion (seconds) = 2402

INFO 	2016-04-15 11:15:15 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 11:15:15 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 11:15:15 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 11:15:15 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 11:15:15 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 11:35:49 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 11:37:58 	[reads_filtering] 	step time for completion (seconds) = 1383

INFO 	2016-04-15 11:38:00 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 11:38:00 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 11:38:00 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 11:38:00 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 12:06:24 	[post_filtering_statistics] 	step time for completion (seconds) = 1704

INFO 	2016-04-15 12:06:26 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 12:50:18 	[index_contacts] 	step time for completion (seconds) = 2632

INFO 	2016-04-15 12:50:21 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 58 files...
TIME 	2016-04-15 14:39:44 	[map_to_bam] 	step time for completion (seconds) = 6563

INFO 	2016-04-15 14:39:58 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 03:21:58 	[downstream_bam] 	step time for completion (seconds) = 45720

INFO 	2016-04-16 03:22:00 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 03:22:00 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/fastqs_processed
INFO 	2016-04-16 03:22:00 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/NcoI_T60/mapped_reads
TIME 	2016-04-16 03:22:01 	[clean_up] 	step time for completion (seconds) = 1


