
INFO 	2016-04-06 05:42:52 	[preliminary_checks] 	a7a9044d5_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 05:42:52 	[preliminary_checks] 	data for a7a9044d5_95a8cd511 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511
INFO 	2016-04-06 05:47:03 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 05:47:04 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 05:47:06 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 05:47:06 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 05:47:32 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 05:47:32 	[preliminary_checks] 	step time for completion (seconds) = 282

INFO 	2016-04-06 05:47:35 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 05:47:35 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 05:47:35 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 05:47:54 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 05:47:54 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 05:47:56 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 05:47:56 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 05:47:56 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 07:01:11 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 07:01:11 	[trim_reads_trimmomatic] 	reads after trimming = 206360946
INFO 	2016-04-06 07:01:45 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 07:01:45 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 07:01:45 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 07:01:45 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4429

INFO 	2016-04-06 07:01:53 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 07:01:53 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 07:01:53 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 07:01:53 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 07:01:53 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 07:01:53 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 15:09:37 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/logs/hg38_mmtv/a7a9044d5_95a8cd511_align_and_merge_paired_end.log
TIME 	2016-04-06 15:12:02 	[align_and_merge] 	step time for completion (seconds) = 29415

