
INFO 	2016-04-08 16:23:48 	[preliminary_checks] 	a7c643d27_0aa35af8e found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:23:48 	[preliminary_checks] 	data for a7c643d27_0aa35af8e will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e
INFO 	2016-04-08 16:24:49 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:24:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:24:52 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:24:52 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:25:15 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:25:15 	[preliminary_checks] 	step time for completion (seconds) = 88

INFO 	2016-04-08 16:25:20 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:25:20 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:25:20 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:25:45 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:25:45 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-04-08 16:25:47 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:25:47 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:25:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 16:46:15 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:46:15 	[trim_reads_trimmomatic] 	reads after trimming = 58752470
INFO 	2016-04-08 16:46:55 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:46:55 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:46:55 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 16:46:55 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1268

INFO 	2016-04-08 16:47:05 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:47:05 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:47:05 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:47:05 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:47:05 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:47:05 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 19:23:57 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/logs/mm10/a7c643d27_0aa35af8e_align_and_merge_paired_end.log
TIME 	2016-04-08 19:24:55 	[align_and_merge] 	step time for completion (seconds) = 9477

INFO 	2016-04-08 19:25:15 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 19:37:16 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.849016424331
INFO 	2016-04-08 19:37:16 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.826440913888
INFO 	2016-04-08 19:37:16 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 38418225
INFO 	2016-04-08 19:37:16 	[post_mapping_statistics] 	counts-to-distance slope = -1.06912469398
TIME 	2016-04-08 19:37:25 	[post_mapping_statistics] 	step time for completion (seconds) = 730

INFO 	2016-04-08 19:37:32 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 19:37:32 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/results/mm10/filtered_reads
INFO 	2016-04-08 19:37:32 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 19:37:32 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 19:37:32 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 19:43:29 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 19:44:30 	[reads_filtering] 	step time for completion (seconds) = 424

INFO 	2016-04-08 19:44:33 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/plots/mm10/post_filtering_statistics:
