
INFO 	2016-04-08 13:15:23 	[preliminary_checks] 	b742f3789_01d7fe832 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 13:15:23 	[preliminary_checks] 	data for b742f3789_01d7fe832 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832
INFO 	2016-04-08 13:25:18 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 13:25:19 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:25:23 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:25:23 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 13:26:04 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 13:26:04 	[preliminary_checks] 	step time for completion (seconds) = 645

INFO 	2016-04-08 13:26:07 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 13:26:07 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 13:26:07 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 13:26:30 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 13:26:30 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-08 13:26:31 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 13:26:31 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 13:26:31 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 15:26:17 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 15:26:17 	[trim_reads_trimmomatic] 	reads after trimming = 310768721
INFO 	2016-04-08 15:26:56 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 15:26:56 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 15:26:56 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 15:26:56 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7225

INFO 	2016-04-08 15:27:07 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 15:27:07 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 15:27:07 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 15:27:07 	[align_and_merge] 	read length = 76
INFO 	2016-04-08 15:27:07 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 15:27:07 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 07:20:56 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/logs/mm10/b742f3789_01d7fe832_align_and_merge_paired_end.log
TIME 	2016-04-09 07:26:56 	[align_and_merge] 	step time for completion (seconds) = 57596

INFO 	2016-04-09 07:27:03 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 08:24:50 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.841822774693
INFO 	2016-04-09 08:24:50 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.82801622754
INFO 	2016-04-09 08:24:50 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 204564506
INFO 	2016-04-09 08:24:50 	[post_mapping_statistics] 	counts-to-distance slope = -0.908068917012
TIME 	2016-04-09 08:24:59 	[post_mapping_statistics] 	step time for completion (seconds) = 3476

INFO 	2016-04-09 08:25:31 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 08:25:31 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/results/mm10/filtered_reads
INFO 	2016-04-09 08:25:31 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 08:25:31 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 08:25:31 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 08:55:19 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 09:00:02 	[reads_filtering] 	step time for completion (seconds) = 2102

INFO 	2016-04-09 09:00:04 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 09:00:04 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 09:00:04 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 09:00:04 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 09:36:40 	[post_filtering_statistics] 	step time for completion (seconds) = 2196

INFO 	2016-04-09 09:36:53 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 10:46:28 	[index_contacts] 	step time for completion (seconds) = 4175

INFO 	2016-04-09 10:47:02 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 115 files...
TIME 	2016-04-09 13:20:36 	[map_to_bam] 	step time for completion (seconds) = 9214

INFO 	2016-04-09 13:20:40 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0414/job_scripts/2168470: line 747: 53765 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 23:43:54 	[downstream_bam] 	step time for completion (seconds) = 37394

INFO 	2016-04-09 23:43:56 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 23:43:56 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/fastqs_processed
INFO 	2016-04-09 23:43:56 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_01d7fe832/mapped_reads
TIME 	2016-04-09 23:43:56 	[clean_up] 	step time for completion (seconds) = 0


