
INFO 	2016-05-03 13:23:58 	[preliminary_checks] 	b742f3789_d354bee7f found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 13:23:58 	[preliminary_checks] 	data for b742f3789_d354bee7f will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f
INFO 	2016-05-03 13:30:32 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 13:30:33 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:30:34 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:30:34 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 13:30:51 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 13:30:51 	[preliminary_checks] 	step time for completion (seconds) = 414

INFO 	2016-05-03 13:30:53 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-03 13:30:53 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 13:30:53 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-05-03 13:31:15 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 13:31:15 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-05-03 13:31:17 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 13:31:17 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 13:31:17 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 15:59:40 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 15:59:41 	[trim_reads_trimmomatic] 	reads after trimming = 336325925
INFO 	2016-05-03 16:00:03 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 16:00:03 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 16:00:03 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 16:00:03 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8927

INFO 	2016-05-03 16:00:07 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-05-03 16:00:07 	[align_and_merge] 	assembly version = mm10
INFO 	2016-05-03 16:00:07 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-03 16:00:07 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 16:00:07 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 16:00:07 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-04 08:47:21 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/logs/mm10/b742f3789_d354bee7f_align_and_merge_paired_end.log
TIME 	2016-05-04 08:51:42 	[align_and_merge] 	step time for completion (seconds) = 60698

INFO 	2016-05-04 08:51:53 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-04 10:15:02 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.969458937785
INFO 	2016-05-04 10:15:02 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.971411864845
INFO 	2016-05-04 10:15:02 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 230205386
INFO 	2016-05-04 10:15:02 	[post_mapping_statistics] 	counts-to-distance slope = -0.912552916342
TIME 	2016-05-04 10:15:17 	[post_mapping_statistics] 	step time for completion (seconds) = 5004

INFO 	2016-05-04 10:16:04 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-04 10:16:04 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/results/mm10/filtered_reads
INFO 	2016-05-04 10:16:04 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/results/mm10/excluded_reads/dangling_ends
INFO 	2016-05-04 10:16:04 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/results/mm10/excluded_reads/self_circle
INFO 	2016-05-04 10:16:04 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-04 10:59:31 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-04 11:04:09 	[reads_filtering] 	step time for completion (seconds) = 2931

INFO 	2016-05-04 11:04:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/plots/mm10/post_filtering_statistics:
INFO 	2016-05-04 11:04:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-04 11:04:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 11:04:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 11:58:19 	[post_filtering_statistics] 	step time for completion (seconds) = 3248

INFO 	2016-05-04 11:58:27 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d354bee7f/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 13:37:28 	[index_contacts] 	step time for completion (seconds) = 5941

INFO 	2016-05-04 13:37:52 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 169 files...
TIME 	2016-05-04 17:17:32 	[map_to_bam] 	step time for completion (seconds) = 13180

INFO 	2016-05-04 17:17:43 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0204/job_scripts/3483797: line 756: 38863 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-05-05 04:37:05 	[downstream_bam] 	step time for completion (seconds) = 40762


INFO 	2016-05-05 04:37:07 	[pipeline] 	completed successfully
TIME 	2016-05-05 04:37:07 	[pipeline] 	total time for completion (seconds) = 141249

