
INFO 	2016-04-08 16:25:30 	[preliminary_checks] 	b742f3789_fecd0394c found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:25:30 	[preliminary_checks] 	data for b742f3789_fecd0394c will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c
INFO 	2016-04-08 16:26:37 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 16:26:40 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:26:43 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 16:26:43 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:27:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 16:27:07 	[preliminary_checks] 	step time for completion (seconds) = 99

INFO 	2016-04-08 16:27:11 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:27:11 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 16:27:11 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 16:27:32 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 16:27:32 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-04-08 16:27:35 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 16:27:35 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 16:27:35 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 16:51:49 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:51:50 	[trim_reads_trimmomatic] 	reads after trimming = 70194251
INFO 	2016-04-08 16:52:31 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:52:31 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:52:31 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 16:52:31 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1496

INFO 	2016-04-08 16:52:43 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:52:43 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:52:43 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:52:43 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:52:43 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:52:43 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 19:55:34 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/logs/mm10/b742f3789_fecd0394c_align_and_merge_paired_end.log
TIME 	2016-04-08 19:56:50 	[align_and_merge] 	step time for completion (seconds) = 11057

INFO 	2016-04-08 19:56:57 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 20:11:19 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.851326442674
INFO 	2016-04-08 20:11:19 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.829364886307
INFO 	2016-04-08 20:11:19 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 46367682
INFO 	2016-04-08 20:11:19 	[post_mapping_statistics] 	counts-to-distance slope = -1.09120587005
TIME 	2016-04-08 20:11:34 	[post_mapping_statistics] 	step time for completion (seconds) = 878

INFO 	2016-04-08 20:11:45 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 20:11:45 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/results/mm10/filtered_reads
INFO 	2016-04-08 20:11:45 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 20:11:45 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 20:11:45 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 20:19:46 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 20:21:00 	[reads_filtering] 	step time for completion (seconds) = 563

INFO 	2016-04-08 20:21:07 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 20:21:07 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 20:21:07 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 20:21:07 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 20:31:16 	[post_filtering_statistics] 	step time for completion (seconds) = 609

INFO 	2016-04-08 20:31:26 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 20:48:39 	[index_contacts] 	step time for completion (seconds) = 1033

INFO 	2016-04-08 20:48:42 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 27 files...
TIME 	2016-04-08 21:26:17 	[map_to_bam] 	step time for completion (seconds) = 2256

INFO 	2016-04-08 21:26:21 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0111/job_scripts/2168751: line 747: 27798 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 05:51:52 	[downstream_bam] 	step time for completion (seconds) = 30331

INFO 	2016-04-09 05:51:53 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 05:51:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/fastqs_processed
INFO 	2016-04-09 05:51:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_fecd0394c/mapped_reads
TIME 	2016-04-09 05:51:57 	[clean_up] 	step time for completion (seconds) = 4


