
INFO 	2016-04-06 16:17:00 	[preliminary_checks] 	b7fa2d8db_0e5ee7d46 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 16:17:00 	[preliminary_checks] 	data for b7fa2d8db_0e5ee7d46 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46
INFO 	2016-04-06 16:19:35 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 16:19:37 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 16:19:38 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 16:19:38 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 16:20:05 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 16:20:05 	[preliminary_checks] 	step time for completion (seconds) = 186

INFO 	2016-04-06 16:20:08 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 16:20:08 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 16:20:08 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 16:20:28 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 16:20:28 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 16:20:30 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 16:20:30 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 16:20:30 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 17:05:59 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 17:05:59 	[trim_reads_trimmomatic] 	reads after trimming = 128064131
INFO 	2016-04-06 17:06:32 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 17:06:32 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 17:06:32 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 17:06:32 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2763

INFO 	2016-04-06 17:06:42 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 17:06:42 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 17:06:42 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 17:06:42 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 17:06:42 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 17:06:42 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 21:19:13 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_0e5ee7d46/logs/mm10/b7fa2d8db_0e5ee7d46_align_and_merge_paired_end.log
TIME 	2016-04-06 21:20:10 	[align_and_merge] 	step time for completion (seconds) = 15215

INFO 	2016-04-06 21:20:12 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 21:35:48 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.637131329146
INFO 	2016-04-06 21:35:48 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.629807115936
INFO 	2016-04-06 21:35:48 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 49544132
INFO 	2016-04-06 21:35:48 	[post_mapping_statistics] 	counts-to-distance slope = -1.16670222262
TIME 	2016-04-06 21:35:55 	[post_mapping_statistics] 	step time for completion (seconds) = 943

INFO 	2016-04-06 21:36:04 	[reads_filtering] 	filtering reads based on multiple quality parameters...
