
INFO 	2016-04-14 07:15:57 	[preliminary_checks] 	b7fa2d8db_37c834894 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 07:15:57 	[preliminary_checks] 	data for b7fa2d8db_37c834894 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894
INFO 	2016-04-14 07:17:19 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 07:17:20 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 07:17:22 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 07:17:22 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 07:17:34 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 07:17:34 	[preliminary_checks] 	step time for completion (seconds) = 98

INFO 	2016-04-14 07:17:36 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 07:17:36 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 07:17:36 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-14 07:17:54 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 07:17:54 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-04-14 07:17:55 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 07:17:55 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 07:17:55 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 07:44:05 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 07:44:05 	[trim_reads_trimmomatic] 	reads after trimming = 74202458
INFO 	2016-04-14 07:44:23 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 07:44:23 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 07:44:23 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 07:44:23 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1588

INFO 	2016-04-14 07:44:29 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-14 07:44:29 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-14 07:44:29 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 07:44:29 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 07:44:29 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 07:44:29 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 10:41:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/logs/mm10/b7fa2d8db_37c834894_align_and_merge_paired_end.log
TIME 	2016-04-14 10:42:14 	[align_and_merge] 	step time for completion (seconds) = 10669

INFO 	2016-04-14 10:42:29 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 10:57:11 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.837830372142
INFO 	2016-04-14 10:57:11 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.796955068523
INFO 	2016-04-14 10:57:11 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 46267472
