
INFO 	2016-04-08 09:56:39 	[preliminary_checks] 	b7fa2d8db_7284b867a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 09:56:39 	[preliminary_checks] 	data for b7fa2d8db_7284b867a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a
INFO 	2016-04-08 10:03:03 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:03:05 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:03:06 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:03:06 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:03:23 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:03:23 	[preliminary_checks] 	step time for completion (seconds) = 405

INFO 	2016-04-08 10:03:26 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:03:26 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:03:26 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:03:45 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:03:45 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:03:47 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:03:47 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:03:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:12:43 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 12:12:43 	[trim_reads_trimmomatic] 	reads after trimming = 356941577
INFO 	2016-04-08 12:13:19 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:13:19 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:13:19 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:13:19 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7772

INFO 	2016-04-08 12:13:28 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:13:28 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:13:28 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:13:28 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:13:28 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:13:28 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 03:11:22 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/logs/mm10/b7fa2d8db_7284b867a_align_and_merge_paired_end.log
TIME 	2016-04-09 03:17:25 	[align_and_merge] 	step time for completion (seconds) = 54243

INFO 	2016-04-09 03:18:01 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 04:22:58 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.846173921622
INFO 	2016-04-09 04:22:58 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.837366216937
INFO 	2016-04-09 04:22:58 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 235052875
INFO 	2016-04-09 04:22:58 	[post_mapping_statistics] 	counts-to-distance slope = -1.17226854931
TIME 	2016-04-09 04:23:14 	[post_mapping_statistics] 	step time for completion (seconds) = 3913

INFO 	2016-04-09 04:23:53 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 04:23:53 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/filtered_reads
INFO 	2016-04-09 04:23:53 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 04:23:53 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/excluded_reads/self_circle
