
INFO 	2016-04-08 13:18:25 	[preliminary_checks] 	b7fa2d8db_f95e85d16 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 13:18:25 	[preliminary_checks] 	data for b7fa2d8db_f95e85d16 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16
INFO 	2016-04-08 13:22:43 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 13:22:45 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:22:47 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 13:22:47 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 13:23:00 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 13:23:00 	[preliminary_checks] 	step time for completion (seconds) = 277

INFO 	2016-04-08 13:23:04 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 13:23:04 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 13:23:04 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 13:23:23 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 13:23:23 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-08 13:23:25 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 13:23:25 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 13:23:25 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 15:02:58 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 15:02:58 	[trim_reads_trimmomatic] 	reads after trimming = 282892832
INFO 	2016-04-08 15:03:30 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 15:03:30 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 15:03:30 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 15:03:30 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6005

INFO 	2016-04-08 15:03:37 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 15:03:37 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 15:03:37 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 15:03:37 	[align_and_merge] 	read length = 76
INFO 	2016-04-08 15:03:37 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 15:03:37 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 02:56:04 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/logs/mm10/b7fa2d8db_f95e85d16_align_and_merge_paired_end.log
TIME 	2016-04-09 03:00:14 	[align_and_merge] 	step time for completion (seconds) = 43002

INFO 	2016-04-09 03:00:33 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 03:51:46 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.846689915424
INFO 	2016-04-09 03:51:46 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.826608575929
INFO 	2016-04-09 03:51:46 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 183619477
INFO 	2016-04-09 03:51:46 	[post_mapping_statistics] 	counts-to-distance slope = -1.17241172272
TIME 	2016-04-09 03:51:56 	[post_mapping_statistics] 	step time for completion (seconds) = 3083

INFO 	2016-04-09 03:52:27 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 03:52:27 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/results/mm10/filtered_reads
INFO 	2016-04-09 03:52:27 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 03:52:27 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 03:52:27 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 04:19:29 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 04:23:07 	[reads_filtering] 	step time for completion (seconds) = 1868

INFO 	2016-04-09 04:23:10 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f95e85d16/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 04:23:10 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 04:23:10 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 04:23:10 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 04:57:53 	[post_filtering_statistics] 	step time for completion (seconds) = 2083

