
INFO 	2016-04-13 10:04:28 	[preliminary_checks] 	dc3a1e069_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 10:04:28 	[preliminary_checks] 	data for dc3a1e069_92b2943b1 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1
INFO 	2016-04-13 10:05:22 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 10:05:23 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 10:05:25 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 10:05:25 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 10:05:56 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 10:05:56 	[preliminary_checks] 	step time for completion (seconds) = 89

INFO 	2016-04-13 10:05:59 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 10:05:59 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 10:05:59 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-13 10:06:20 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 10:06:20 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-04-13 10:06:22 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 10:06:22 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 10:06:22 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 10:17:50 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 10:17:50 	[trim_reads_trimmomatic] 	reads after trimming = 29764817
INFO 	2016-04-13 10:18:12 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 10:18:12 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 10:18:12 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 10:18:12 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 710

INFO 	2016-04-13 10:18:19 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-13 10:18:19 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-13 10:18:19 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 10:18:19 	[align_and_merge] 	read length = 100
