
INFO 	2016-04-06 02:39:35 	[preliminary_checks] 	dc3a1e069_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 02:39:35 	[preliminary_checks] 	data for dc3a1e069_95a8cd511 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511
INFO 	2016-04-06 02:45:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 02:45:57 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 02:45:58 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 02:45:58 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 02:46:27 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 02:46:27 	[preliminary_checks] 	step time for completion (seconds) = 413

INFO 	2016-04-06 02:46:30 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 02:46:30 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 02:46:31 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-06 02:46:56 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 02:46:56 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 27

INFO 	2016-04-06 02:46:58 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 02:46:58 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 02:46:58 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 04:01:35 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 04:01:35 	[trim_reads_trimmomatic] 	reads after trimming = 204784124
INFO 	2016-04-06 04:01:55 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 04:01:55 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 04:01:55 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 04:01:55 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4497

INFO 	2016-04-06 04:02:01 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 04:02:01 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 04:02:01 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 04:02:01 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 04:02:01 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 04:02:01 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 12:03:20 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/logs/hg38_mmtv/dc3a1e069_95a8cd511_align_and_merge_paired_end.log
TIME 	2016-04-06 12:05:39 	[align_and_merge] 	step time for completion (seconds) = 29022

INFO 	2016-04-06 12:05:49 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 12:50:09 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.88540367514
INFO 	2016-04-06 12:50:09 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.797619589886
INFO 	2016-04-06 12:50:09 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 139117693
INFO 	2016-04-06 12:50:09 	[post_mapping_statistics] 	counts-to-distance slope = -1.26428923796
TIME 	2016-04-06 12:50:17 	[post_mapping_statistics] 	step time for completion (seconds) = 2669

INFO 	2016-04-06 12:50:38 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 12:50:38 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 12:50:38 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 12:50:38 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 12:50:38 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 13:12:44 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 13:14:00 	[reads_filtering] 	step time for completion (seconds) = 1422

INFO 	2016-04-06 13:14:03 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 13:14:03 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 13:14:03 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 13:14:03 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 13:35:04 	[post_filtering_statistics] 	step time for completion (seconds) = 1261

INFO 	2016-04-06 13:35:07 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 14:06:27 	[index_contacts] 	step time for completion (seconds) = 1880

INFO 	2016-04-06 14:06:30 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 76 files...
TIME 	2016-04-06 15:44:03 	[map_to_bam] 	step time for completion (seconds) = 5853

INFO 	2016-04-06 15:44:05 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 02:46:59 	[downstream_bam] 	step time for completion (seconds) = 39774

INFO 	2016-04-07 02:47:01 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 02:47:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/fastqs_processed
INFO 	2016-04-07 02:47:01 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_95a8cd511/mapped_reads
TIME 	2016-04-07 02:47:02 	[clean_up] 	step time for completion (seconds) = 1


