
INFO 	2016-04-14 03:44:51 	[preliminary_checks] 	e22e868a9_869faec68 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 03:44:51 	[preliminary_checks] 	data for e22e868a9_869faec68 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68
INFO 	2016-04-14 03:45:33 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-14 03:45:35 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
WARN 	2016-04-14 03:45:37 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 03:45:37 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 03:45:39 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 03:46:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 03:46:07 	[preliminary_checks] 	step time for completion (seconds) = 78

INFO 	2016-04-14 03:46:10 	[raw_fastqs_quality_plots] 	restriction enzyme = HindIII
INFO 	2016-04-14 03:46:10 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 03:46:10 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 03:46:27 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 03:46:27 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 18

INFO 	2016-04-14 03:46:29 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 03:46:29 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 03:46:29 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 04:02:07 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 04:02:07 	[trim_reads_trimmomatic] 	reads after trimming = 42959270
INFO 	2016-04-14 04:02:25 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 04:02:25 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 04:02:25 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 04:02:25 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 956

INFO 	2016-04-14 04:02:31 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 04:02:31 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 04:02:31 	[align_and_merge] 	restriction enzyme = HindIII
INFO 	2016-04-14 04:02:31 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 04:02:31 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 04:02:31 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 05:42:37 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_869faec68/logs/hg38_mmtv/e22e868a9_869faec68_align_and_merge_paired_end.log
