
INFO 	2016-05-03 12:35:12 	[preliminary_checks] 	e22e868a9_a23924036 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 12:35:12 	[preliminary_checks] 	data for e22e868a9_a23924036 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036
INFO 	2016-05-03 12:37:07 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 12:37:09 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-05-03 12:37:10 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-05-03 12:37:10 	[preliminary_checks] 	the latter will be kept
INFO 	2016-05-03 12:37:12 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-05-03 12:37:51 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 12:37:51 	[preliminary_checks] 	step time for completion (seconds) = 161

INFO 	2016-05-03 12:37:54 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-05-03 12:37:54 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 12:37:54 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-03 12:38:12 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 12:38:12 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-05-03 12:38:15 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 12:38:15 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 12:38:15 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 13:36:26 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 13:36:26 	[trim_reads_trimmomatic] 	reads after trimming = 95044428
INFO 	2016-05-03 13:36:46 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 13:36:46 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 13:36:46 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 13:36:46 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3513

INFO 	2016-05-03 13:36:52 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-05-03 13:36:52 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-03 18:55:48 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/logs/hg38_mmtv/e22e868a9_a23924036_align_and_merge_paired_end.log
TIME 	2016-05-03 18:57:51 	[align_and_merge] 	step time for completion (seconds) = 19263

INFO 	2016-05-03 18:58:10 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-03 19:24:20 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.03304490401
INFO 	2016-05-03 19:24:20 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.996671409291
INFO 	2016-05-03 19:24:20 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 67209666
INFO 	2016-05-03 19:24:20 	[post_mapping_statistics] 	counts-to-distance slope = -1.09107203605
TIME 	2016-05-03 19:24:26 	[post_mapping_statistics] 	step time for completion (seconds) = 1577

INFO 	2016-05-03 19:24:42 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-03 19:24:42 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/results/hg38_mmtv/filtered_reads
INFO 	2016-05-03 19:24:42 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-03 19:24:42 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-03 19:24:42 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-03 19:38:20 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-03 19:40:07 	[reads_filtering] 	step time for completion (seconds) = 939

INFO 	2016-05-03 19:40:09 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-03 19:40:09 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-03 19:40:09 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-03 19:40:09 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-03 19:57:53 	[post_filtering_statistics] 	step time for completion (seconds) = 1064

INFO 	2016-05-03 19:57:55 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_a23924036/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-05-03 20:29:37 	[index_contacts] 	step time for completion (seconds) = 1902

INFO 	2016-05-03 20:29:40 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 52 files...
TIME 	2016-05-03 21:37:08 	[map_to_bam] 	step time for completion (seconds) = 4049

INFO 	2016-05-03 21:37:18 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-05-04 09:23:07 	[downstream_bam] 	step time for completion (seconds) = 42349


INFO 	2016-05-04 09:23:09 	[pipeline] 	completed successfully
TIME 	2016-05-04 09:23:09 	[pipeline] 	total time for completion (seconds) = 74937

