
INFO 	2016-04-05 15:32:21 	[preliminary_checks] 	e4aa8d54f_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 15:32:21 	[preliminary_checks] 	data for e4aa8d54f_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf
INFO 	2016-04-05 15:34:26 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 15:34:27 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 15:34:29 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 15:34:29 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 15:35:04 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 15:35:04 	[preliminary_checks] 	step time for completion (seconds) = 165

INFO 	2016-04-05 15:35:07 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 15:35:07 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 15:35:07 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 15:35:32 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 15:35:32 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 27

INFO 	2016-04-05 15:35:33 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 15:35:33 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 15:35:33 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 16:08:33 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 16:08:33 	[trim_reads_trimmomatic] 	reads after trimming = 91722974
INFO 	2016-04-05 16:08:53 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 16:08:53 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 16:08:53 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 16:08:53 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2000

INFO 	2016-04-05 16:08:59 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 16:08:59 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 16:08:59 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 16:08:59 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 16:08:59 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 16:08:59 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 19:48:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/logs/hg38_mmtv/e4aa8d54f_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 19:49:03 	[align_and_merge] 	step time for completion (seconds) = 13209

INFO 	2016-04-05 19:49:14 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 20:05:11 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.877406188334
INFO 	2016-04-05 20:05:11 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.677588201621
INFO 	2016-04-05 20:05:11 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 51813883
INFO 	2016-04-05 20:05:11 	[post_mapping_statistics] 	counts-to-distance slope = -1.20563272431
TIME 	2016-04-05 20:05:18 	[post_mapping_statistics] 	step time for completion (seconds) = 964

INFO 	2016-04-05 20:05:27 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 20:05:27 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 20:05:27 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 20:05:27 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 20:05:27 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 20:13:23 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 20:13:54 	[reads_filtering] 	step time for completion (seconds) = 515

INFO 	2016-04-05 20:13:56 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 20:13:56 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 20:13:56 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 20:13:56 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 20:24:16 	[post_filtering_statistics] 	step time for completion (seconds) = 620

INFO 	2016-04-05 20:24:22 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 20:41:35 	[index_contacts] 	step time for completion (seconds) = 1034

INFO 	2016-04-05 20:41:40 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 29 files...
TIME 	2016-04-05 21:19:12 	[map_to_bam] 	step time for completion (seconds) = 2253

INFO 	2016-04-05 21:19:15 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 06:00:46 	[downstream_bam] 	step time for completion (seconds) = 31291

INFO 	2016-04-06 06:00:48 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 06:00:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/fastqs_processed
INFO 	2016-04-06 06:00:48 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/mapped_reads
TIME 	2016-04-06 06:00:52 	[clean_up] 	step time for completion (seconds) = 4


