
INFO 	2016-04-13 14:43:45 	[preliminary_checks] 	eaed0e91e_db4f304ee found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 14:43:45 	[preliminary_checks] 	data for eaed0e91e_db4f304ee will be stored at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee
INFO 	2016-04-13 14:46:16 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 14:46:18 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-13 14:46:19 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-13 14:46:19 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-13 14:46:21 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 14:46:46 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 14:46:46 	[preliminary_checks] 	step time for completion (seconds) = 182

INFO 	2016-04-13 14:46:49 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 14:46:49 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 14:46:49 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-13 14:47:08 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 14:47:08 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-13 14:47:10 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 14:47:10 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 14:47:10 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 15:53:04 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 15:53:04 	[trim_reads_trimmomatic] 	reads after trimming = 186302313
INFO 	2016-04-13 15:53:31 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 15:53:31 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 15:53:31 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 15:53:31 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3981

INFO 	2016-04-13 15:53:37 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-13 15:53:37 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-13 15:53:37 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 15:53:37 	[align_and_merge] 	read length = 75
INFO 	2016-04-13 15:53:37 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 15:53:37 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 23:32:25 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/logs/hg38_mmtv/eaed0e91e_db4f304ee_align_and_merge_paired_end.log
TIME 	2016-04-13 23:34:43 	[align_and_merge] 	step time for completion (seconds) = 27670

INFO 	2016-04-13 23:35:06 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
