
INFO 	2016-04-05 18:21:22 	[preliminary_checks] 	f8a4ad91d_c478f1d09 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 18:21:22 	[preliminary_checks] 	data for f8a4ad91d_c478f1d09 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09
INFO 	2016-04-05 18:26:09 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-05 18:26:11 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-05 18:26:13 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 18:26:13 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 18:26:43 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 18:26:43 	[preliminary_checks] 	step time for completion (seconds) = 325

INFO 	2016-04-05 18:26:47 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 18:26:47 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 18:26:47 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 18:27:09 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 18:27:09 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-04-05 18:27:11 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 18:27:11 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 18:27:11 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 19:35:18 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 19:35:18 	[trim_reads_trimmomatic] 	reads after trimming = 210627144
INFO 	2016-04-05 19:35:48 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 19:35:48 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/f8a4ad91d_c478f1d09/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 19:35:48 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 19:35:48 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4117

