
INFO 	2016-04-06 18:30:05 	[preliminary_checks] 	fc3e8b36a_6e79a3b7d found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 18:30:05 	[preliminary_checks] 	data for fc3e8b36a_6e79a3b7d will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d
INFO 	2016-04-06 18:31:41 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-06 18:31:42 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-06 18:31:44 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 18:31:44 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 18:32:13 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 18:32:13 	[preliminary_checks] 	step time for completion (seconds) = 130

INFO 	2016-04-06 18:32:16 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 18:32:16 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 18:32:16 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 18:32:36 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 18:32:36 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-06 18:32:38 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 18:32:38 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 18:32:38 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 19:07:00 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
