
INFO 	2016-04-15 01:07:12 	[preliminary_checks] 	fc3e8b36a_7bf1bf374 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:07:12 	[preliminary_checks] 	data for fc3e8b36a_7bf1bf374 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374
INFO 	2016-04-15 01:15:17 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 01:15:21 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:15:23 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:15:23 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 01:15:55 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 01:15:55 	[preliminary_checks] 	step time for completion (seconds) = 524

INFO 	2016-04-15 01:15:59 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 01:15:59 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 01:15:59 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-15 01:16:23 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 01:16:23 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-04-15 01:16:25 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 01:16:25 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 01:16:25 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 03:15:56 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 03:15:56 	[trim_reads_trimmomatic] 	reads after trimming = 323957748
INFO 	2016-04-15 03:16:24 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 03:16:24 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 03:16:24 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 03:16:24 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7199

INFO 	2016-04-15 03:16:31 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-15 03:16:31 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-15 03:16:31 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 03:16:31 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 03:16:31 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 03:16:31 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 20:38:08 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/logs/mm10/fc3e8b36a_7bf1bf374_align_and_merge_paired_end.log
TIME 	2016-04-15 20:44:40 	[align_and_merge] 	step time for completion (seconds) = 62894

INFO 	2016-04-15 20:44:56 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 22:05:50 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.856164869377
INFO 	2016-04-15 22:05:50 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.852262416023
INFO 	2016-04-15 22:05:50 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 211784883
INFO 	2016-04-15 22:05:50 	[post_mapping_statistics] 	counts-to-distance slope = -1.2448073145
TIME 	2016-04-15 22:06:08 	[post_mapping_statistics] 	step time for completion (seconds) = 4872

INFO 	2016-04-15 22:06:48 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 22:06:48 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/results/mm10/filtered_reads
INFO 	2016-04-15 22:06:48 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-15 22:06:48 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/results/mm10/excluded_reads/self_circle
INFO 	2016-04-15 22:06:48 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 22:42:33 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 22:48:44 	[reads_filtering] 	step time for completion (seconds) = 2552

INFO 	2016-04-15 22:48:46 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/plots/mm10/post_filtering_statistics:
INFO 	2016-04-15 22:48:46 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 22:48:46 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 22:48:46 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 23:39:21 	[post_filtering_statistics] 	step time for completion (seconds) = 3035

INFO 	2016-04-15 23:39:24 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-16 01:15:24 	[index_contacts] 	step time for completion (seconds) = 5760

INFO 	2016-04-16 01:15:36 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 126 files...
TIME 	2016-04-16 04:02:31 	[map_to_bam] 	step time for completion (seconds) = 10016

INFO 	2016-04-16 04:02:41 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 14:45:56 	[downstream_bam] 	step time for completion (seconds) = 38595

INFO 	2016-04-16 14:45:57 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 14:45:57 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/fastqs_processed
INFO 	2016-04-16 14:45:57 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_7bf1bf374/mapped_reads
TIME 	2016-04-16 14:45:58 	[clean_up] 	step time for completion (seconds) = 1


