
INFO 	2016-04-01 16:06:28 	[preliminary_checks] 	cbf5146d5_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-01 16:06:28 	[preliminary_checks] 	data for cbf5146d5_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a
INFO 	2016-04-01 16:07:33 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-01 16:07:35 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-01 16:07:36 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-01 16:07:36 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-01 16:07:40 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-01 16:08:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-01 16:08:07 	[preliminary_checks] 	step time for completion (seconds) = 100

INFO 	2016-04-01 16:08:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-01 16:08:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-01 16:08:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-01 16:09:10 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-01 16:09:10 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 62

INFO 	2016-04-01 16:09:18 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-01 16:09:18 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-01 16:09:18 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-01 16:22:08 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-01 16:22:08 	[trim_reads_trimmomatic] 	reads after trimming = 38400211
INFO 	2016-04-01 16:22:46 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-01 16:22:46 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/cbf5146d5_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-01 16:22:46 	[trim_reads_trimmomatic] 	unpaired reads are deleted
