
INFO 	2016-04-05 07:12:37 	[preliminary_checks] 	d4e07ef90_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 07:12:37 	[preliminary_checks] 	data for d4e07ef90_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf
INFO 	2016-04-05 07:15:34 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 07:15:35 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 07:15:37 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 07:15:37 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 07:16:04 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 07:16:04 	[preliminary_checks] 	step time for completion (seconds) = 208

INFO 	2016-04-05 07:16:08 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 07:16:08 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 07:16:08 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 07:16:38 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 07:16:38 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 32

INFO 	2016-04-05 07:16:40 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 07:16:40 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 07:16:40 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 08:11:05 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 08:11:06 	[trim_reads_trimmomatic] 	reads after trimming = 155728943
INFO 	2016-04-05 08:11:41 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 08:11:41 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/d4e07ef90_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 08:11:41 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 08:11:41 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3301

INFO 	2016-04-05 08:11:47 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 08:11:47 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 08:11:47 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 08:11:47 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 08:11:47 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 08:11:47 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
