
INFO 	2016-04-04 15:14:18 	[preliminary_checks] 	dc3a1e069_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-04 15:14:18 	[preliminary_checks] 	data for dc3a1e069_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf
INFO 	2016-04-04 15:17:07 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-04 15:17:09 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-04 15:17:11 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-04 15:17:11 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-04 15:17:38 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-04 15:17:38 	[preliminary_checks] 	step time for completion (seconds) = 201

INFO 	2016-04-04 15:17:41 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-04 15:17:41 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-04 15:17:41 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-04 15:18:07 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-04 15:18:07 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 27

INFO 	2016-04-04 15:18:09 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-04 15:18:09 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-04 15:18:09 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-04 16:01:30 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-04 16:01:30 	[trim_reads_trimmomatic] 	reads after trimming = 123429663
INFO 	2016-04-04 16:01:58 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-04 16:01:58 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-04 16:01:58 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-04 16:01:58 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2629

INFO 	2016-04-04 16:02:05 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-04 16:02:05 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-04 16:02:05 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-04 16:02:05 	[align_and_merge] 	read length = 75
INFO 	2016-04-04 16:02:05 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-04 16:02:05 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-04 20:45:10 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/logs/hg38_mmtv/dc3a1e069_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-04 20:46:38 	[align_and_merge] 	step time for completion (seconds) = 17078

INFO 	2016-04-04 20:46:51 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-04 21:10:22 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.878023105354
INFO 	2016-04-04 21:10:22 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.761779200515
INFO 	2016-04-04 21:10:22 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 77777126
INFO 	2016-04-04 21:10:22 	[post_mapping_statistics] 	counts-to-distance slope = -1.20053753276
TIME 	2016-04-04 21:10:28 	[post_mapping_statistics] 	step time for completion (seconds) = 1417

INFO 	2016-04-04 21:10:42 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-04 21:10:42 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/results/hg38_mmtv/filtered_reads
