
INFO 	2016-04-05 05:28:02 	[preliminary_checks] 	e4aa8d54f_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 05:28:02 	[preliminary_checks] 	data for e4aa8d54f_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf
INFO 	2016-04-05 05:29:54 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 05:29:56 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 05:29:58 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 05:29:58 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 05:30:21 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 05:30:21 	[preliminary_checks] 	step time for completion (seconds) = 140

INFO 	2016-04-05 05:30:24 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 05:30:24 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 05:30:24 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 05:30:59 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 05:30:59 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 37

INFO 	2016-04-05 05:31:01 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 05:31:01 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 05:31:01 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 06:03:23 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 06:03:23 	[trim_reads_trimmomatic] 	reads after trimming = 91722974
INFO 	2016-04-05 06:03:49 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 06:03:49 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 06:03:49 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 06:03:49 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1968

INFO 	2016-04-05 06:03:56 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 06:03:56 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 06:03:56 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 06:03:56 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 06:03:56 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 06:03:56 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 09:27:03 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/logs/hg38_mmtv/e4aa8d54f_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-04-05 09:27:44 	[align_and_merge] 	step time for completion (seconds) = 12234

INFO 	2016-04-05 09:27:59 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 09:44:37 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.877406188334
INFO 	2016-04-05 09:44:37 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.677588201621
INFO 	2016-04-05 09:44:37 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 51813883
INFO 	2016-04-05 09:44:37 	[post_mapping_statistics] 	counts-to-distance slope = -1.20563272431
TIME 	2016-04-05 09:44:44 	[post_mapping_statistics] 	step time for completion (seconds) = 1005

INFO 	2016-04-05 09:44:53 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 09:44:53 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 09:44:53 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 09:44:53 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 09:44:53 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 09:52:42 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 09:53:15 	[reads_filtering] 	step time for completion (seconds) = 509

INFO 	2016-04-05 09:53:16 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 09:53:16 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 09:53:16 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 09:53:16 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
