
INFO 	2016-04-14 11:07:01 	[preliminary_checks] 	248b851a9_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:07:01 	[preliminary_checks] 	data for 248b851a9_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a
INFO 	2016-04-14 11:07:37 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 11:07:39 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-14 11:07:41 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 11:07:41 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 11:07:42 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:08:08 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 11:08:08 	[preliminary_checks] 	step time for completion (seconds) = 68

INFO 	2016-04-14 11:08:12 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:08:12 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 11:08:12 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 11:08:31 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 11:08:31 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-14 11:08:33 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 11:08:33 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 11:08:33 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 11:21:32 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 11:21:32 	[trim_reads_trimmomatic] 	reads after trimming = 38698818
INFO 	2016-04-14 11:21:54 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 11:21:54 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 11:21:54 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 11:21:54 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 801

INFO 	2016-04-14 11:22:01 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 11:22:01 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 11:22:01 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 11:22:01 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 11:22:01 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:22:01 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 12:56:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/logs/hg38_mmtv/248b851a9_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 12:57:12 	[align_and_merge] 	step time for completion (seconds) = 5716

INFO 	2016-04-14 12:57:16 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 13:06:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.85480114664
INFO 	2016-04-14 13:06:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.803620332797
INFO 	2016-04-14 13:06:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 25766776
INFO 	2016-04-14 13:06:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.20922051359
TIME 	2016-04-14 13:06:24 	[post_mapping_statistics] 	step time for completion (seconds) = 548

INFO 	2016-04-14 13:06:30 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 13:06:30 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 13:06:30 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 13:06:30 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 13:06:30 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 13:10:45 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 13:11:15 	[reads_filtering] 	step time for completion (seconds) = 289

INFO 	2016-04-14 13:11:16 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 13:11:16 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 13:11:16 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 13:11:16 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 13:17:41 	[post_filtering_statistics] 	step time for completion (seconds) = 385

INFO 	2016-04-14 13:17:44 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 13:26:58 	[index_contacts] 	step time for completion (seconds) = 554

INFO 	2016-04-14 13:27:09 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 14 files...
TIME 	2016-04-14 13:46:25 	[map_to_bam] 	step time for completion (seconds) = 1156

INFO 	2016-04-14 13:46:27 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0401/job_scripts/2271285: line 747: 16292 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 19:17:53 	[downstream_bam] 	step time for completion (seconds) = 19886

INFO 	2016-04-14 19:17:56 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 19:17:56 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 19:17:56 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/248b851a9_ac9f54f0a/mapped_reads
TIME 	2016-04-14 19:18:02 	[clean_up] 	step time for completion (seconds) = 6


