
INFO 	2016-04-14 12:41:00 	[preliminary_checks] 	286589cb2_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 12:41:00 	[preliminary_checks] 	data for 286589cb2_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a
INFO 	2016-04-14 12:41:39 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 12:41:41 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-14 12:41:42 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 12:41:42 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 12:41:44 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 12:42:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 12:42:07 	[preliminary_checks] 	step time for completion (seconds) = 69

INFO 	2016-04-14 12:42:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 12:42:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 12:42:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-14 12:42:27 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 12:42:27 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-04-14 12:42:29 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 12:42:29 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 12:42:29 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 12:55:08 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 12:55:08 	[trim_reads_trimmomatic] 	reads after trimming = 34869438
INFO 	2016-04-14 12:55:27 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 12:55:27 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 12:55:27 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 12:55:27 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 778

INFO 	2016-04-14 12:55:33 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-14 12:55:33 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-14 12:55:33 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 12:55:33 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 12:55:33 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 12:55:33 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 14:10:37 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/logs/mm10/286589cb2_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 14:10:51 	[align_and_merge] 	step time for completion (seconds) = 4522

INFO 	2016-04-14 14:11:00 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 14:19:10 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.841296438446
INFO 	2016-04-14 14:19:10 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.77942692968
INFO 	2016-04-14 14:19:10 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 21984313
INFO 	2016-04-14 14:19:10 	[post_mapping_statistics] 	counts-to-distance slope = -1.08946528163
TIME 	2016-04-14 14:19:16 	[post_mapping_statistics] 	step time for completion (seconds) = 496

INFO 	2016-04-14 14:19:21 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 14:19:21 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/filtered_reads
INFO 	2016-04-14 14:19:21 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 14:19:21 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 14:19:21 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 14:22:59 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 14:23:12 	[reads_filtering] 	step time for completion (seconds) = 235

INFO 	2016-04-14 14:23:13 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 14:23:13 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 14:23:13 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
