
INFO 	2016-04-15 00:26:44 	[preliminary_checks] 	858b56753_529dc88f0 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 00:26:44 	[preliminary_checks] 	data for 858b56753_529dc88f0 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0
INFO 	2016-04-15 00:29:59 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-15 00:30:01 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 00:30:02 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 00:30:02 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 00:30:34 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 00:30:34 	[preliminary_checks] 	step time for completion (seconds) = 232

INFO 	2016-04-15 00:30:37 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-15 00:30:37 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 00:30:37 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 00:30:57 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 00:30:57 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-04-15 00:30:59 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 00:30:59 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 00:30:59 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 01:22:56 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 01:22:56 	[trim_reads_trimmomatic] 	reads after trimming = 146154662
INFO 	2016-04-15 01:23:16 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 01:23:16 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 01:23:16 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 01:23:16 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3137

INFO 	2016-04-15 01:23:23 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 01:23:23 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 01:23:23 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 01:23:23 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 01:23:23 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 01:23:23 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 07:05:10 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/logs/hg38_mmtv/858b56753_529dc88f0_align_and_merge_paired_end.log
TIME 	2016-04-15 07:06:59 	[align_and_merge] 	step time for completion (seconds) = 20622

INFO 	2016-04-15 07:07:13 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 07:39:15 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.855800343885
INFO 	2016-04-15 07:39:15 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.811192167103
INFO 	2016-04-15 07:39:15 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 100129450
INFO 	2016-04-15 07:39:15 	[post_mapping_statistics] 	counts-to-distance slope = -0.16728787922
TIME 	2016-04-15 07:39:22 	[post_mapping_statistics] 	step time for completion (seconds) = 1930

INFO 	2016-04-15 07:39:39 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 07:39:39 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 07:39:39 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 07:39:39 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 07:39:39 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 07:55:13 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 07:56:05 	[reads_filtering] 	step time for completion (seconds) = 1002

INFO 	2016-04-15 07:56:06 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 07:56:06 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 07:56:06 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 07:56:06 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 08:11:10 	[post_filtering_statistics] 	step time for completion (seconds) = 904

INFO 	2016-04-15 08:11:12 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 08:37:06 	[index_contacts] 	step time for completion (seconds) = 1554

INFO 	2016-04-15 08:37:10 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 54 files...
TIME 	2016-04-15 09:46:53 	[map_to_bam] 	step time for completion (seconds) = 4184

INFO 	2016-04-15 09:46:55 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 00:56:41 	[downstream_bam] 	step time for completion (seconds) = 54586

INFO 	2016-04-16 00:56:43 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 00:56:43 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/fastqs_processed
INFO 	2016-04-16 00:56:43 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/858b56753_529dc88f0/mapped_reads
TIME 	2016-04-16 00:56:44 	[clean_up] 	step time for completion (seconds) = 1


