
INFO 	2016-04-13 10:43:02 	[preliminary_checks] 	8b706b410_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 10:43:02 	[preliminary_checks] 	data for 8b706b410_92b2943b1 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1
INFO 	2016-04-13 10:43:52 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 10:43:55 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 10:43:57 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 10:43:57 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 10:44:31 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 10:44:31 	[preliminary_checks] 	step time for completion (seconds) = 90

INFO 	2016-04-13 10:44:35 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 10:44:35 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 10:44:35 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-13 10:44:59 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 10:44:59 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 26

INFO 	2016-04-13 10:45:01 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 10:45:01 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 10:45:01 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 10:55:33 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 10:55:34 	[trim_reads_trimmomatic] 	reads after trimming = 26925996
INFO 	2016-04-13 10:55:55 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 10:55:55 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 10:55:55 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 10:55:55 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 654

INFO 	2016-04-13 10:56:01 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-13 10:56:01 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-13 10:56:01 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 10:56:01 	[align_and_merge] 	read length = 100
INFO 	2016-04-13 10:56:01 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 10:56:01 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 11:53:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/logs/hg38_mmtv/8b706b410_92b2943b1_align_and_merge_paired_end.log
TIME 	2016-04-13 11:54:00 	[align_and_merge] 	step time for completion (seconds) = 3483

INFO 	2016-04-13 11:54:02 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-13 11:59:21 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.77583748434
INFO 	2016-04-13 11:59:22 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.681496573052
INFO 	2016-04-13 11:59:22 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 14547028
INFO 	2016-04-13 11:59:22 	[post_mapping_statistics] 	counts-to-distance slope = -1.25791079247
TIME 	2016-04-13 11:59:29 	[post_mapping_statistics] 	step time for completion (seconds) = 327

INFO 	2016-04-13 11:59:33 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 11:59:33 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/filtered_reads
INFO 	2016-04-13 11:59:33 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-13 11:59:33 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/8b706b410_92b2943b1/results/hg38_mmtv/excluded_reads/self_circle
