
INFO 	2016-04-15 01:36:07 	[preliminary_checks] 	NcoI_T0 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 01:36:07 	[preliminary_checks] 	data for NcoI_T0 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0
INFO 	2016-04-15 01:38:57 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-15 01:38:58 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-15 01:39:00 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-15 01:39:00 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 01:39:28 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-15 01:39:28 	[preliminary_checks] 	step time for completion (seconds) = 203

INFO 	2016-04-15 01:39:32 	[raw_fastqs_quality_plots] 	restriction enzyme = NcoI
INFO 	2016-04-15 01:39:32 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-15 01:39:32 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-15 01:39:50 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-15 01:39:50 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-15 01:39:52 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-15 01:39:52 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-15 01:39:52 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-15 02:42:16 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-15 02:42:16 	[trim_reads_trimmomatic] 	reads after trimming = 168297015
INFO 	2016-04-15 02:42:41 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-15 02:42:41 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-15 02:42:41 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 02:42:42 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3770

INFO 	2016-04-15 02:42:48 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-15 02:42:48 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-15 02:42:48 	[align_and_merge] 	restriction enzyme = NcoI
INFO 	2016-04-15 02:42:48 	[align_and_merge] 	read length = 50
INFO 	2016-04-15 02:42:48 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-15 02:42:48 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 09:04:56 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/logs/hg38_mmtv/NcoI_T0_align_and_merge_paired_end.log
TIME 	2016-04-15 09:06:56 	[align_and_merge] 	step time for completion (seconds) = 23053

INFO 	2016-04-15 09:07:01 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 09:44:31 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.916328955686
INFO 	2016-04-15 09:44:31 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.9065268567
INFO 	2016-04-15 09:44:31 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 114638285
INFO 	2016-04-15 09:44:31 	[post_mapping_statistics] 	counts-to-distance slope = -1.12196808525
TIME 	2016-04-15 09:44:49 	[post_mapping_statistics] 	step time for completion (seconds) = 2268

INFO 	2016-04-15 09:45:10 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 09:45:10 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/results/hg38_mmtv/filtered_reads
INFO 	2016-04-15 09:45:10 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-15 09:45:10 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-15 09:45:10 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 10:04:07 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 10:05:56 	[reads_filtering] 	step time for completion (seconds) = 1266

INFO 	2016-04-15 10:05:58 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-15 10:05:58 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 10:05:58 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 10:05:58 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 10:33:18 	[post_filtering_statistics] 	step time for completion (seconds) = 1640

INFO 	2016-04-15 10:33:22 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 11:12:28 	[index_contacts] 	step time for completion (seconds) = 2346

INFO 	2016-04-15 11:12:34 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 55 files...
TIME 	2016-04-15 12:43:58 	[map_to_bam] 	step time for completion (seconds) = 5484

INFO 	2016-04-15 12:44:01 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0405/job_scripts/2271779: line 747: 19488 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-15 22:22:15 	[downstream_bam] 	step time for completion (seconds) = 34694

INFO 	2016-04-15 22:22:17 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-15 22:22:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/fastqs_processed
INFO 	2016-04-15 22:22:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/NcoI_T0/mapped_reads
TIME 	2016-04-15 22:22:18 	[clean_up] 	step time for completion (seconds) = 1


