
INFO 	2016-04-14 07:58:35 	[preliminary_checks] 	a7c643d27_f2fc3c273 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 07:58:35 	[preliminary_checks] 	data for a7c643d27_f2fc3c273 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273
INFO 	2016-04-14 07:59:51 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 07:59:53 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 07:59:54 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-14 07:59:54 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 08:00:23 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 08:00:23 	[preliminary_checks] 	step time for completion (seconds) = 110

INFO 	2016-04-14 08:00:26 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-14 08:00:26 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 08:00:26 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-14 08:00:45 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 08:00:45 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-14 08:00:47 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 08:00:47 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 08:00:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 08:25:58 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 08:25:58 	[trim_reads_trimmomatic] 	reads after trimming = 72352251
INFO 	2016-04-14 08:26:26 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 08:26:26 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 08:26:26 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 08:26:26 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1539

INFO 	2016-04-14 08:26:37 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-14 08:26:37 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-14 08:26:37 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-14 08:26:37 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 08:26:37 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-14 08:26:37 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 11:02:26 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/logs/mm10/a7c643d27_f2fc3c273_align_and_merge_paired_end.log
TIME 	2016-04-14 11:03:14 	[align_and_merge] 	step time for completion (seconds) = 9404

INFO 	2016-04-14 11:03:29 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 11:18:12 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.841510045071
INFO 	2016-04-14 11:18:12 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.806311167845
INFO 	2016-04-14 11:18:12 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 46027800
INFO 	2016-04-14 11:18:12 	[post_mapping_statistics] 	counts-to-distance slope = -1.06807606902
TIME 	2016-04-14 11:18:20 	[post_mapping_statistics] 	step time for completion (seconds) = 891

INFO 	2016-04-14 11:18:28 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 11:18:28 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/results/mm10/filtered_reads
INFO 	2016-04-14 11:18:28 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 11:18:28 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 11:18:28 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 11:25:24 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 11:26:19 	[reads_filtering] 	step time for completion (seconds) = 478

INFO 	2016-04-14 11:26:21 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 11:26:21 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 11:26:21 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 11:26:21 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 11:36:05 	[post_filtering_statistics] 	step time for completion (seconds) = 584

INFO 	2016-04-14 11:36:07 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 11:51:56 	[index_contacts] 	step time for completion (seconds) = 949

INFO 	2016-04-14 11:51:58 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 26 files...
TIME 	2016-04-14 12:26:48 	[map_to_bam] 	step time for completion (seconds) = 2090

INFO 	2016-04-14 12:26:50 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0315/job_scripts/2269729: line 747: 11697 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 21:12:35 	[downstream_bam] 	step time for completion (seconds) = 31545

INFO 	2016-04-14 21:12:37 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 21:12:37 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/fastqs_processed
INFO 	2016-04-14 21:12:37 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_f2fc3c273/mapped_reads
TIME 	2016-04-14 21:12:40 	[clean_up] 	step time for completion (seconds) = 3


