
INFO 	2016-04-08 10:07:43 	[preliminary_checks] 	b742f3789_d4ae493c2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 10:07:43 	[preliminary_checks] 	data for b742f3789_d4ae493c2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2
INFO 	2016-04-08 10:14:04 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:14:05 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:14:07 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:14:07 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:14:23 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:14:23 	[preliminary_checks] 	step time for completion (seconds) = 401

INFO 	2016-04-08 10:14:26 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:14:26 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:14:26 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:14:45 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:14:45 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:14:47 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:14:47 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:14:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:21:09 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 12:21:09 	[trim_reads_trimmomatic] 	reads after trimming = 347244884
INFO 	2016-04-08 12:21:39 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:21:39 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:21:39 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:21:39 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7612

INFO 	2016-04-08 12:21:45 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:21:45 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:21:45 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:21:45 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:21:45 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:21:45 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 05:38:07 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/logs/mm10/b742f3789_d4ae493c2_align_and_merge_paired_end.log
TIME 	2016-04-09 05:42:46 	[align_and_merge] 	step time for completion (seconds) = 62465

INFO 	2016-04-09 05:42:51 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 06:50:08 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.847269179638
INFO 	2016-04-09 06:50:08 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.841125489411
INFO 	2016-04-09 06:50:08 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 234335565
INFO 	2016-04-09 06:50:08 	[post_mapping_statistics] 	counts-to-distance slope = -0.908028077566
TIME 	2016-04-09 06:50:18 	[post_mapping_statistics] 	step time for completion (seconds) = 4047

INFO 	2016-04-09 06:50:56 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 06:50:56 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/results/mm10/filtered_reads
INFO 	2016-04-09 06:50:56 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 06:50:56 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 06:50:56 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 07:24:50 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 07:29:41 	[reads_filtering] 	step time for completion (seconds) = 2362

INFO 	2016-04-09 07:29:43 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_d4ae493c2/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 07:29:43 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 07:29:43 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 07:29:43 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 08:12:04 	[post_filtering_statistics] 	step time for completion (seconds) = 2541

