
INFO 	2016-05-03 13:23:38 	[preliminary_checks] 	b7fa2d8db_73f11d923 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 13:23:38 	[preliminary_checks] 	data for b7fa2d8db_73f11d923 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923
INFO 	2016-05-03 13:31:13 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 13:31:14 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:31:16 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:31:16 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 13:31:30 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 13:31:30 	[preliminary_checks] 	step time for completion (seconds) = 474

INFO 	2016-05-03 13:31:33 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-03 13:31:33 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 13:31:33 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-05-03 13:31:51 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 13:31:51 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-05-03 13:31:54 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 13:31:54 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 13:31:54 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 16:16:01 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 16:16:01 	[trim_reads_trimmomatic] 	reads after trimming = 332273341
INFO 	2016-05-03 16:16:33 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 16:16:33 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 16:16:33 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 16:16:33 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 9880

INFO 	2016-05-03 16:16:39 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-05-03 16:16:39 	[align_and_merge] 	assembly version = mm10
INFO 	2016-05-03 16:16:39 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-03 16:16:39 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 16:16:39 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 16:16:39 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-04 08:55:29 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/logs/mm10/b7fa2d8db_73f11d923_align_and_merge_paired_end.log
TIME 	2016-05-04 09:00:22 	[align_and_merge] 	step time for completion (seconds) = 60228

INFO 	2016-05-04 09:00:43 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-04 10:22:26 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.968813808629
INFO 	2016-05-04 10:22:26 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.969671172025
INFO 	2016-05-04 10:22:26 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 224054938
INFO 	2016-05-04 10:22:26 	[post_mapping_statistics] 	counts-to-distance slope = -1.17047213398
TIME 	2016-05-04 10:22:41 	[post_mapping_statistics] 	step time for completion (seconds) = 4919

INFO 	2016-05-04 10:23:28 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-04 10:23:28 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/filtered_reads
INFO 	2016-05-04 10:23:28 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/excluded_reads/dangling_ends
INFO 	2016-05-04 10:23:28 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/excluded_reads/self_circle
INFO 	2016-05-04 10:23:28 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-04 11:06:02 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-04 11:10:36 	[reads_filtering] 	step time for completion (seconds) = 2874

INFO 	2016-05-04 11:10:39 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/plots/mm10/post_filtering_statistics:
INFO 	2016-05-04 11:10:39 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-04 11:10:39 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-04 11:10:39 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-04 12:05:07 	[post_filtering_statistics] 	step time for completion (seconds) = 3268

INFO 	2016-05-04 12:05:14 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_73f11d923/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-05-04 13:48:43 	[index_contacts] 	step time for completion (seconds) = 6209

INFO 	2016-05-04 13:48:53 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 167 files...
TIME 	2016-05-04 17:24:22 	[map_to_bam] 	step time for completion (seconds) = 12929

INFO 	2016-05-04 17:24:35 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0114/job_scripts/3483795: line 756: 55396 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-05-05 04:45:40 	[downstream_bam] 	step time for completion (seconds) = 40865


INFO 	2016-05-05 04:45:42 	[pipeline] 	completed successfully
TIME 	2016-05-05 04:45:42 	[pipeline] 	total time for completion (seconds) = 141798

