
INFO 	2016-04-13 15:30:02 	[preliminary_checks] 	b7fa2d8db_81f53634a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 15:30:02 	[preliminary_checks] 	data for b7fa2d8db_81f53634a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a
INFO 	2016-04-13 15:31:12 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-13 15:31:13 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 15:31:14 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-13 15:31:14 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-13 15:31:43 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-13 15:31:43 	[preliminary_checks] 	step time for completion (seconds) = 103

INFO 	2016-04-13 15:31:46 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-13 15:31:46 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-13 15:31:46 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-13 15:32:04 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-13 15:32:04 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-13 15:32:05 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-13 15:32:05 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-13 15:32:05 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-13 15:58:05 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-13 15:58:05 	[trim_reads_trimmomatic] 	reads after trimming = 66409188
INFO 	2016-04-13 15:58:22 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-13 15:58:22 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-13 15:58:22 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-13 15:58:22 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1577

INFO 	2016-04-13 15:58:27 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-13 15:58:27 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-13 15:58:27 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-13 15:58:27 	[align_and_merge] 	read length = 76
INFO 	2016-04-13 15:58:27 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-13 15:58:27 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 18:52:18 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/logs/mm10/b7fa2d8db_81f53634a_align_and_merge_paired_end.log
TIME 	2016-04-13 18:53:17 	[align_and_merge] 	step time for completion (seconds) = 10494

INFO 	2016-04-13 18:53:23 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-13 19:05:25 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.756612097109
INFO 	2016-04-13 19:05:25 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.741426803773
INFO 	2016-04-13 19:05:25 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 36864246
INFO 	2016-04-13 19:05:25 	[post_mapping_statistics] 	counts-to-distance slope = -1.17301237775
TIME 	2016-04-13 19:05:31 	[post_mapping_statistics] 	step time for completion (seconds) = 728

INFO 	2016-04-13 19:05:39 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 19:05:39 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/results/mm10/filtered_reads
INFO 	2016-04-13 19:05:39 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-13 19:05:39 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/results/mm10/excluded_reads/self_circle
INFO 	2016-04-13 19:05:39 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 19:11:38 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 19:12:30 	[reads_filtering] 	step time for completion (seconds) = 417

INFO 	2016-04-13 19:12:32 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/plots/mm10/post_filtering_statistics:
INFO 	2016-04-13 19:12:32 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 19:12:32 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 19:12:32 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 19:20:54 	[post_filtering_statistics] 	step time for completion (seconds) = 502

INFO 	2016-04-13 19:20:56 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 19:36:05 	[index_contacts] 	step time for completion (seconds) = 909

INFO 	2016-04-13 19:36:07 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 21 files...
TIME 	2016-04-13 20:05:25 	[map_to_bam] 	step time for completion (seconds) = 1758

INFO 	2016-04-13 20:05:37 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0303/job_scripts/2269668: line 747: 34547 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 04:08:57 	[downstream_bam] 	step time for completion (seconds) = 29000

INFO 	2016-04-14 04:08:58 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 04:08:58 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/fastqs_processed
INFO 	2016-04-14 04:08:58 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_81f53634a/mapped_reads
TIME 	2016-04-14 04:09:02 	[clean_up] 	step time for completion (seconds) = 4


