
INFO 	2016-04-06 06:06:30 	[preliminary_checks] 	b7fa2d8db_f93db662e found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:06:30 	[preliminary_checks] 	data for b7fa2d8db_f93db662e will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e
INFO 	2016-04-06 06:08:09 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 06:08:10 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:08:11 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:08:11 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:08:37 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 06:08:37 	[preliminary_checks] 	step time for completion (seconds) = 128

INFO 	2016-04-06 06:08:40 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:08:40 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 06:08:40 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 06:08:59 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 06:08:59 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 06:09:00 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 06:09:00 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 06:09:00 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 06:35:16 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 06:35:16 	[trim_reads_trimmomatic] 	reads after trimming = 66149642
INFO 	2016-04-06 06:35:36 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 06:35:36 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 06:35:36 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 06:35:36 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1596

INFO 	2016-04-06 06:35:42 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 06:35:42 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 06:35:42 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:35:42 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 06:35:42 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:35:42 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 08:56:13 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/logs/mm10/b7fa2d8db_f93db662e_align_and_merge_paired_end.log
TIME 	2016-04-06 08:56:34 	[align_and_merge] 	step time for completion (seconds) = 8456

INFO 	2016-04-06 08:56:51 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 09:08:02 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.709014434273
INFO 	2016-04-06 09:08:02 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.71324487289
INFO 	2016-04-06 09:08:02 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 33713235
INFO 	2016-04-06 09:08:02 	[post_mapping_statistics] 	counts-to-distance slope = -1.22971901331
TIME 	2016-04-06 09:08:09 	[post_mapping_statistics] 	step time for completion (seconds) = 678

INFO 	2016-04-06 09:08:15 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 09:08:15 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/results/mm10/filtered_reads
INFO 	2016-04-06 09:08:15 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 09:08:15 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 09:08:15 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 09:13:18 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 09:13:48 	[reads_filtering] 	step time for completion (seconds) = 338

INFO 	2016-04-06 09:13:49 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 09:13:49 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 09:13:49 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 09:13:49 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 09:21:40 	[post_filtering_statistics] 	step time for completion (seconds) = 471

INFO 	2016-04-06 09:21:42 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 09:33:39 	[index_contacts] 	step time for completion (seconds) = 717

INFO 	2016-04-06 09:33:41 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 19 files...
TIME 	2016-04-06 09:59:07 	[map_to_bam] 	step time for completion (seconds) = 1526

INFO 	2016-04-06 09:59:09 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0102/job_scripts/2164922: line 747: 52704 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 17:48:04 	[downstream_bam] 	step time for completion (seconds) = 28135

INFO 	2016-04-06 17:48:06 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 17:48:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/fastqs_processed
INFO 	2016-04-06 17:48:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_f93db662e/mapped_reads
TIME 	2016-04-06 17:48:10 	[clean_up] 	step time for completion (seconds) = 4


