
INFO 	2016-04-05 14:38:03 	[preliminary_checks] 	dc3a1e069_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 14:38:03 	[preliminary_checks] 	data for dc3a1e069_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf
INFO 	2016-04-05 14:40:33 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 14:40:34 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 14:40:35 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 14:40:35 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 14:41:03 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 14:41:03 	[preliminary_checks] 	step time for completion (seconds) = 182

INFO 	2016-04-05 14:41:06 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 14:41:06 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 14:41:06 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 14:41:25 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 14:41:25 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-05 14:41:27 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 14:41:27 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 14:41:27 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 15:24:30 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 15:24:30 	[trim_reads_trimmomatic] 	reads after trimming = 123429663
INFO 	2016-04-05 15:24:47 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 15:24:47 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 15:24:47 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 15:24:48 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2601

INFO 	2016-04-05 15:24:53 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 15:24:53 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 15:24:53 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 15:24:53 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 15:24:53 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 15:24:53 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
