
INFO 	2016-04-05 15:43:52 	[preliminary_checks] 	dc3a1e069_ec92aa0bb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 15:43:52 	[preliminary_checks] 	data for dc3a1e069_ec92aa0bb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb
INFO 	2016-04-05 15:45:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-05 15:45:56 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 15:45:58 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-05 15:45:58 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 15:46:34 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-05 15:46:34 	[preliminary_checks] 	step time for completion (seconds) = 163

INFO 	2016-04-05 15:46:37 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-05 15:46:37 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-05 15:46:37 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-05 15:46:56 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-05 15:46:56 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-05 15:46:58 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-05 15:46:58 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-05 15:46:58 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-05 16:18:36 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-05 16:18:36 	[trim_reads_trimmomatic] 	reads after trimming = 94468118
INFO 	2016-04-05 16:19:00 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 16:19:00 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 16:19:00 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 16:19:00 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1922

INFO 	2016-04-05 16:19:06 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 16:19:06 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 16:19:06 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 16:19:06 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 16:19:06 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 16:19:06 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 20:01:42 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/logs/hg38_mmtv/dc3a1e069_ec92aa0bb_align_and_merge_paired_end.log
TIME 	2016-04-05 20:02:26 	[align_and_merge] 	step time for completion (seconds) = 13404

INFO 	2016-04-05 20:02:40 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 20:18:24 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.874685817283
INFO 	2016-04-05 20:18:24 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.643299700329
INFO 	2016-04-05 20:18:24 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 50591126
INFO 	2016-04-05 20:18:24 	[post_mapping_statistics] 	counts-to-distance slope = -1.17340843268
TIME 	2016-04-05 20:18:33 	[post_mapping_statistics] 	step time for completion (seconds) = 953

INFO 	2016-04-05 20:18:42 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 20:18:42 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 20:18:42 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 20:18:42 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 20:18:42 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 20:26:20 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 20:27:01 	[reads_filtering] 	step time for completion (seconds) = 507

INFO 	2016-04-05 20:27:05 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 20:27:05 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 20:27:05 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 20:27:05 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 20:37:10 	[post_filtering_statistics] 	step time for completion (seconds) = 605

INFO 	2016-04-05 20:37:13 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 20:54:57 	[index_contacts] 	step time for completion (seconds) = 1064

INFO 	2016-04-05 20:55:00 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 28 files...
TIME 	2016-04-05 21:31:38 	[map_to_bam] 	step time for completion (seconds) = 2198

INFO 	2016-04-05 21:31:40 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 06:51:11 	[downstream_bam] 	step time for completion (seconds) = 33571

INFO 	2016-04-06 06:51:12 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 06:51:12 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/fastqs_processed
INFO 	2016-04-06 06:51:12 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_ec92aa0bb/mapped_reads
TIME 	2016-04-06 06:51:15 	[clean_up] 	step time for completion (seconds) = 3


