
INFO 	2016-04-14 04:10:04 	[preliminary_checks] 	e22e868a9_6bddf5c69 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 04:10:04 	[preliminary_checks] 	data for e22e868a9_6bddf5c69 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69
INFO 	2016-04-14 04:10:36 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-14 04:10:37 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-04-14 04:10:38 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-04-14 04:10:38 	[preliminary_checks] 	the latter will be kept
INFO 	2016-04-14 04:10:40 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 04:11:21 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-14 04:11:21 	[preliminary_checks] 	step time for completion (seconds) = 78

INFO 	2016-04-14 04:11:23 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-04-14 04:11:23 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-14 04:11:23 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-04-14 04:11:42 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-14 04:11:42 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-14 04:11:43 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-14 04:11:43 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-14 04:11:43 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-14 04:21:08 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-14 04:21:08 	[trim_reads_trimmomatic] 	reads after trimming = 27151402
INFO 	2016-04-14 04:21:26 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-14 04:21:26 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-14 04:21:26 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-14 04:21:26 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 583

INFO 	2016-04-14 04:21:31 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-14 04:21:31 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-14 04:21:31 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-04-14 04:21:31 	[align_and_merge] 	read length = 76
INFO 	2016-04-14 04:21:31 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 04:21:31 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 05:23:18 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_6bddf5c69/logs/hg38_mmtv/e22e868a9_6bddf5c69_align_and_merge_paired_end.log
TIME 	2016-04-14 05:23:32 	[align_and_merge] 	step time for completion (seconds) = 3725

INFO 	2016-04-14 05:23:44 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 05:31:01 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.887005687588
INFO 	2016-04-14 05:31:01 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.859859244101
