
INFO 	2016-05-03 12:44:26 	[preliminary_checks] 	e22e868a9_e45e05898 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 12:44:26 	[preliminary_checks] 	data for e22e868a9_e45e05898 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898
INFO 	2016-05-03 12:46:26 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 12:46:28 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-05-03 12:46:29 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-05-03 12:46:29 	[preliminary_checks] 	the latter will be kept
INFO 	2016-05-03 12:46:31 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-05-03 12:47:02 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 12:47:02 	[preliminary_checks] 	step time for completion (seconds) = 158

INFO 	2016-05-03 12:47:05 	[raw_fastqs_quality_plots] 	restriction enzyme = HindIII
INFO 	2016-05-03 12:47:05 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 12:47:05 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-03 12:47:23 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 12:47:23 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-05-03 12:47:26 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 12:47:26 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 12:47:26 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 14:10:15 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 14:10:15 	[trim_reads_trimmomatic] 	reads after trimming = 156145609
INFO 	2016-05-03 14:10:43 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 14:10:43 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 14:10:44 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 14:10:44 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4999

INFO 	2016-05-03 14:10:49 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-05-03 14:10:49 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-05-03 14:10:49 	[align_and_merge] 	restriction enzyme = HindIII
INFO 	2016-05-03 14:10:49 	[align_and_merge] 	read length = 76
INFO 	2016-05-03 14:10:49 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-05-03 14:10:49 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-03 22:28:54 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e22e868a9_e45e05898/logs/hg38_mmtv/e22e868a9_e45e05898_align_and_merge_paired_end.log
TIME 	2016-05-03 22:32:17 	[align_and_merge] 	step time for completion (seconds) = 30092

INFO 	2016-05-03 22:32:33 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-03 23:29:02 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.08899394027
INFO 	2016-05-03 23:29:02 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.05287860512
INFO 	2016-05-03 23:29:02 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 88356795
INFO 	2016-05-03 23:29:02 	[post_mapping_statistics] 	counts-to-distance slope = -1.1388703882
TIME 	2016-05-03 23:29:16 	[post_mapping_statistics] 	step time for completion (seconds) = 3403

