
INFO 	2016-05-03 13:33:25 	[preliminary_checks] 	fc3e8b36a_4bf044f18 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-03 13:33:25 	[preliminary_checks] 	data for fc3e8b36a_4bf044f18 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18
INFO 	2016-05-03 13:39:33 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-03 13:39:34 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:39:36 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-03 13:39:36 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 13:40:08 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-03 13:40:08 	[preliminary_checks] 	step time for completion (seconds) = 404

INFO 	2016-05-03 13:40:11 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-03 13:40:11 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-03 13:40:11 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-05-03 13:40:38 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-03 13:40:38 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 29

INFO 	2016-05-03 13:40:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-03 13:40:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-03 13:40:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-03 16:40:53 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-03 16:40:54 	[trim_reads_trimmomatic] 	reads after trimming = 358962183
INFO 	2016-05-03 16:41:28 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-03 16:41:28 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-03 16:41:28 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-03 16:41:28 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10848

INFO 	2016-05-03 16:41:34 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-05-03 16:41:34 	[align_and_merge] 	assembly version = mm10
INFO 	2016-05-03 16:41:34 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-03 16:41:34 	[align_and_merge] 	read length = 75
INFO 	2016-05-03 16:41:34 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-05-03 16:41:34 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-04 11:21:15 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/logs/mm10/fc3e8b36a_4bf044f18_align_and_merge_paired_end.log
TIME 	2016-05-04 11:26:39 	[align_and_merge] 	step time for completion (seconds) = 67509

INFO 	2016-05-04 11:26:56 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-04 12:54:54 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.974159768245
INFO 	2016-05-04 12:54:54 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.976698138701
INFO 	2016-05-04 12:54:54 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 235386460
INFO 	2016-05-04 12:54:54 	[post_mapping_statistics] 	counts-to-distance slope = -1.2527135649
TIME 	2016-05-04 12:55:11 	[post_mapping_statistics] 	step time for completion (seconds) = 5296

INFO 	2016-05-04 12:56:03 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-04 12:56:03 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/results/mm10/filtered_reads
INFO 	2016-05-04 12:56:03 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_4bf044f18/results/mm10/excluded_reads/dangling_ends
