
INFO 	2016-04-06 15:53:30 	[preliminary_checks] 	fc3e8b36a_6478f9563 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 15:53:30 	[preliminary_checks] 	data for fc3e8b36a_6478f9563 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563
INFO 	2016-04-06 15:56:27 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
WARN 	2016-04-06 15:56:29 	[preliminary_checks] 	Sequencing index added as part of the metadata does not agree with that observed in the FASTQ file
INFO 	2016-04-06 15:56:31 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 15:56:31 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 15:56:48 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 15:56:48 	[preliminary_checks] 	step time for completion (seconds) = 199

INFO 	2016-04-06 15:56:52 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 15:56:52 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 15:56:52 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 15:57:11 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 15:57:11 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 15:57:14 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 15:57:14 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 15:57:14 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 16:40:06 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 16:40:06 	[trim_reads_trimmomatic] 	reads after trimming = 123301041
INFO 	2016-04-06 16:40:27 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 16:40:27 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 16:40:27 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 16:40:27 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2593

INFO 	2016-04-06 16:40:36 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 16:40:36 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 16:40:36 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 16:40:36 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 16:40:36 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 16:40:36 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 20:47:36 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/logs/mm10/fc3e8b36a_6478f9563_align_and_merge_paired_end.log
TIME 	2016-04-06 20:48:21 	[align_and_merge] 	step time for completion (seconds) = 14872

INFO 	2016-04-06 20:48:35 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 21:02:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.623368086568
INFO 	2016-04-06 21:02:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.614097434911
INFO 	2016-04-06 21:02:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 45688722
INFO 	2016-04-06 21:02:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.2262521474
TIME 	2016-04-06 21:02:31 	[post_mapping_statistics] 	step time for completion (seconds) = 836

INFO 	2016-04-06 21:02:39 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 21:02:39 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/results/mm10/filtered_reads
INFO 	2016-04-06 21:02:39 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 21:02:39 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 21:02:39 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 21:10:04 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 21:10:34 	[reads_filtering] 	step time for completion (seconds) = 482

INFO 	2016-04-06 21:10:42 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 21:10:42 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 21:10:42 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 21:10:42 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 21:18:05 	[post_filtering_statistics] 	step time for completion (seconds) = 443

INFO 	2016-04-06 21:18:08 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 21:29:03 	[index_contacts] 	step time for completion (seconds) = 655

INFO 	2016-04-06 21:29:17 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 26 files...
TIME 	2016-04-06 22:01:55 	[map_to_bam] 	step time for completion (seconds) = 1958

INFO 	2016-04-06 22:01:57 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0309/job_scripts/2165421: line 747: 50763 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-07 04:04:18 	[downstream_bam] 	step time for completion (seconds) = 21741

INFO 	2016-04-07 04:04:19 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 04:04:19 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/fastqs_processed
INFO 	2016-04-07 04:04:19 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6478f9563/mapped_reads
TIME 	2016-04-07 04:04:26 	[clean_up] 	step time for completion (seconds) = 7


