
INFO 	2016-04-08 10:07:43 	[preliminary_checks] 	fc3e8b36a_c990a254e found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 10:07:43 	[preliminary_checks] 	data for fc3e8b36a_c990a254e will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e
INFO 	2016-04-08 10:13:48 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-08 10:13:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:13:51 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-08 10:13:52 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 10:14:17 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-08 10:14:17 	[preliminary_checks] 	step time for completion (seconds) = 395

INFO 	2016-04-08 10:14:20 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-08 10:14:20 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-08 10:14:20 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-08 10:14:39 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-08 10:14:39 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-04-08 10:14:41 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:14:41 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:14:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 12:15:40 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 12:15:40 	[trim_reads_trimmomatic] 	reads after trimming = 335288030
INFO 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:15:59 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7278

INFO 	2016-04-08 12:16:07 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:16:07 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:16:07 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:16:07 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:16:07 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:16:07 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 04:23:48 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/logs/mm10/fc3e8b36a_c990a254e_align_and_merge_paired_end.log
TIME 	2016-04-09 04:28:41 	[align_and_merge] 	step time for completion (seconds) = 58361

INFO 	2016-04-09 04:28:57 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 05:29:08 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.847676620009
INFO 	2016-04-09 05:29:08 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.840711504076
INFO 	2016-04-09 05:29:08 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 219163384
INFO 	2016-04-09 05:29:08 	[post_mapping_statistics] 	counts-to-distance slope = -1.23980726511
TIME 	2016-04-09 05:29:18 	[post_mapping_statistics] 	step time for completion (seconds) = 3621

INFO 	2016-04-09 05:29:53 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 05:29:53 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/results/mm10/filtered_reads
INFO 	2016-04-09 05:29:53 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 05:29:53 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 05:29:53 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 06:01:58 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 06:06:53 	[reads_filtering] 	step time for completion (seconds) = 2254

INFO 	2016-04-09 06:07:02 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 06:07:03 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 06:07:03 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 06:07:03 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 06:48:22 	[post_filtering_statistics] 	step time for completion (seconds) = 2480

INFO 	2016-04-09 06:48:35 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 08:10:22 	[index_contacts] 	step time for completion (seconds) = 4907

INFO 	2016-04-09 08:10:49 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 127 files...
TIME 	2016-04-09 10:58:17 	[map_to_bam] 	step time for completion (seconds) = 10048

INFO 	2016-04-09 10:58:19 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-09 21:37:05 	[downstream_bam] 	step time for completion (seconds) = 38326

INFO 	2016-04-09 21:37:06 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:37:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/fastqs_processed
INFO 	2016-04-09 21:37:06 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_c990a254e/mapped_reads
TIME 	2016-04-09 21:37:07 	[clean_up] 	step time for completion (seconds) = 1


