
INFO 	2016-04-06 06:44:24 	[preliminary_checks] 	fc3e8b36a_da061e9a0 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:44:24 	[preliminary_checks] 	data for fc3e8b36a_da061e9a0 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0
INFO 	2016-04-06 06:45:52 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-04-06 06:45:56 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:45:58 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-04-06 06:45:58 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 06:46:27 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-04-06 06:46:27 	[preliminary_checks] 	step time for completion (seconds) = 124

INFO 	2016-04-06 06:46:35 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:46:35 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-04-06 06:46:35 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-04-06 06:46:55 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-04-06 06:46:55 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 21

INFO 	2016-04-06 06:46:57 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-06 06:46:57 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-06 06:46:57 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-06 07:14:56 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-06 07:14:57 	[trim_reads_trimmomatic] 	reads after trimming = 67640615
INFO 	2016-04-06 07:15:19 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 07:15:19 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 07:15:19 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 07:15:19 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1702

INFO 	2016-04-06 07:15:25 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 07:15:25 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 07:15:25 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 07:15:25 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 07:15:25 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 07:15:25 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 09:35:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/logs/mm10/fc3e8b36a_da061e9a0_align_and_merge_paired_end.log
TIME 	2016-04-06 09:36:15 	[align_and_merge] 	step time for completion (seconds) = 8455

INFO 	2016-04-06 09:36:33 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 09:47:37 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.690928371955
INFO 	2016-04-06 09:47:37 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.697816452438
INFO 	2016-04-06 09:47:37 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 33168828
INFO 	2016-04-06 09:47:37 	[post_mapping_statistics] 	counts-to-distance slope = -1.26038058624
TIME 	2016-04-06 09:47:47 	[post_mapping_statistics] 	step time for completion (seconds) = 674

INFO 	2016-04-06 09:47:54 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 09:47:54 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/results/mm10/filtered_reads
INFO 	2016-04-06 09:47:54 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 09:47:54 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 09:47:54 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 09:53:13 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 09:53:47 	[reads_filtering] 	step time for completion (seconds) = 358

INFO 	2016-04-06 09:53:50 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 09:53:50 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 09:53:50 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 09:53:50 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 10:01:52 	[post_filtering_statistics] 	step time for completion (seconds) = 482

INFO 	2016-04-06 10:02:08 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 10:14:05 	[index_contacts] 	step time for completion (seconds) = 717

INFO 	2016-04-06 10:14:10 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 19 files...
TIME 	2016-04-06 10:40:43 	[map_to_bam] 	step time for completion (seconds) = 1593

INFO 	2016-04-06 10:40:55 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0309/job_scripts/2164924: line 747:  5106 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 15:52:18 	[downstream_bam] 	step time for completion (seconds) = 18683

INFO 	2016-04-06 15:52:20 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 15:52:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/fastqs_processed
INFO 	2016-04-06 15:52:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_da061e9a0/mapped_reads
TIME 	2016-04-06 15:52:26 	[clean_up] 	step time for completion (seconds) = 6


