
INFO 	2016-06-28 09:54:43 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-28 09:54:43 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-28 09:54:43 	[configuration] 	data for 1317ef052_3809c7fe5 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_3809c7fe5
INFO 	2016-06-28 09:54:43 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-28 09:54:49 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-28 09:55:17 	[preliminary_checks] 	1317ef052_3809c7fe5 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-28 10:09:55 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-28 10:09:57 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-28 10:09:59 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-28 10:09:59 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-28 10:10:01 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-28 10:10:40 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-28 10:10:40 	[preliminary_checks] 	step time for completion (seconds) = 925

INFO 	2016-06-28 10:10:42 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-28 10:10:42 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-28 10:10:42 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/1317ef052_3809c7fe5/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-28 10:11:06 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-28 10:11:06 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-06-28 10:11:08 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-28 10:11:08 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
