
INFO 	2016-06-13 11:26:25 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 11:26:25 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:26:25 	[configuration] 	data for 1618f57a8_0e24fcc35 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35
INFO 	2016-06-13 11:26:25 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 11:26:52 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-13 11:27:26 	[preliminary_checks] 	1618f57a8_0e24fcc35 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:38:17 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 11:38:19 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-13 11:38:21 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-13 11:38:21 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-13 11:38:23 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 11:39:00 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 11:39:00 	[preliminary_checks] 	step time for completion (seconds) = 696

INFO 	2016-06-13 11:39:02 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 11:39:02 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 11:39:02 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-06-13 11:39:25 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 11:39:25 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-06-13 11:39:27 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 11:39:27 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 11:39:27 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 13:02:03 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 13:02:03 	[trim_reads_trimmomatic] 	reads after trimming = 162678636
INFO 	2016-06-13 13:02:30 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 13:02:30 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 13:02:30 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 13:02:30 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4984

INFO 	2016-06-13 13:02:32 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-06-13 13:02:32 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-06-13 13:02:32 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 13:02:32 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 13:02:33 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-06-13 13:02:33 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 00:15:54 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/logs/hg38_mmtv/1618f57a8_0e24fcc35_align_and_merge_paired_end.log
TIME 	2016-06-14 00:19:29 	[align_and_merge] 	step time for completion (seconds) = 40617

INFO 	2016-06-14 00:19:59 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 00:59:40 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.02414951401
INFO 	2016-06-14 00:59:40 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.873044571138
INFO 	2016-06-14 00:59:40 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 106333921
INFO 	2016-06-14 00:59:40 	[post_mapping_statistics] 	counts-to-distance slope = -1.18734917511
TIME 	2016-06-14 00:59:54 	[post_mapping_statistics] 	step time for completion (seconds) = 2396

INFO 	2016-06-14 01:00:18 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-14 01:00:18 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/filtered_reads
INFO 	2016-06-14 01:00:18 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-06-14 01:00:18 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-06-14 01:00:18 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-14 01:23:13 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-14 01:25:36 	[reads_filtering] 	step time for completion (seconds) = 1539

INFO 	2016-06-14 01:25:41 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-06-14 01:25:41 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-14 01:25:41 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-14 01:25:41 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
