
INFO 	2016-06-27 16:05:40 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-27 16:05:40 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-27 16:05:40 	[configuration] 	data for 1618f57a8_0e24fcc35 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_0e24fcc35
INFO 	2016-06-27 16:05:40 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-27 16:05:48 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-06-27 16:06:09 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-27 21:59:21 	[downstream_bam] 	number of TADs = 3108
TIME 	2016-06-27 21:59:46 	[downstream_bam] 	step time for completion (seconds) = 21217


INFO 	2016-06-27 21:59:48 	[pipeline] 	completed successfully
TIME 	2016-06-27 21:59:48 	[pipeline] 	total time for completion (seconds) = 21248

