
INFO 	2016-07-08 12:40:00 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 12:40:00 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 12:40:00 	[configuration] 	data for 2857c7892_3c6d1f7c2 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2
INFO 	2016-07-08 12:40:00 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 12:40:10 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-08 12:40:35 	[preliminary_checks] 	2857c7892_3c6d1f7c2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 12:41:49 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 12:41:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 12:41:52 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 12:41:52 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 12:42:14 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 12:42:14 	[preliminary_checks] 	step time for completion (seconds) = 101

INFO 	2016-07-08 12:42:16 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-07-08 12:42:16 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 12:42:16 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-07-08 12:42:35 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 12:42:35 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-07-08 12:42:37 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 12:42:37 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 12:42:37 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-07-08 12:52:13 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-07-08 12:52:14 	[trim_reads_trimmomatic] 	reads after trimming = 18553680
INFO 	2016-07-08 12:52:44 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-07-08 12:52:44 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/fastqs_processed/trimmomatic/paired_end
INFO 	2016-07-08 12:52:44 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-07-08 12:52:44 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 607

INFO 	2016-07-08 12:52:46 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-07-08 12:52:46 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-07-08 12:52:46 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-07-08 12:52:46 	[align_and_merge] 	read length = 75
INFO 	2016-07-08 12:52:46 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 12:52:46 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-07-08 13:54:15 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/logs/hg38_mmtv/2857c7892_3c6d1f7c2_align_and_merge_paired_end.log
TIME 	2016-07-08 13:54:38 	[align_and_merge] 	step time for completion (seconds) = 3712

INFO 	2016-07-08 13:54:53 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-07-08 14:01:54 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.06855416284
INFO 	2016-07-08 14:01:54 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.992762298369
INFO 	2016-07-08 14:01:54 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 20919145
INFO 	2016-07-08 14:01:54 	[post_mapping_statistics] 	counts-to-distance slope = -1.18778417449
TIME 	2016-07-08 14:02:02 	[post_mapping_statistics] 	step time for completion (seconds) = 429

INFO 	2016-07-08 14:02:06 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-07-08 14:02:06 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/results/hg38_mmtv/filtered_reads
INFO 	2016-07-08 14:02:06 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-07-08 14:02:06 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-07-08 14:02:06 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-07-08 14:05:34 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-07-08 14:05:46 	[reads_filtering] 	step time for completion (seconds) = 223

INFO 	2016-07-08 14:05:48 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-07-08 14:05:48 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-07-08 14:05:48 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-07-08 14:05:48 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-07-08 14:10:01 	[post_filtering_statistics] 	step time for completion (seconds) = 253

INFO 	2016-07-08 14:10:05 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 11 files...
TIME 	2016-07-08 14:24:18 	[map_to_bam] 	step time for completion (seconds) = 853

INFO 	2016-07-08 14:24:32 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-07-09 01:00:48 	[downstream_bam] 	number of TADs = 3921
TIME 	2016-07-09 01:01:18 	[downstream_bam] 	step time for completion (seconds) = 38207

INFO 	2016-07-09 01:01:20 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-07-09 01:01:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/fastqs_processed
INFO 	2016-07-09 01:01:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/2857c7892_3c6d1f7c2/mapped_reads
TIME 	2016-07-09 01:01:23 	[clean_up] 	step time for completion (seconds) = 3


INFO 	2016-07-09 01:01:24 	[pipeline] 	completed successfully
TIME 	2016-07-09 01:01:24 	[pipeline] 	total time for completion (seconds) = 44484

