
INFO 	2016-06-08 11:30:37 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-08 11:30:37 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:30:37 	[configuration] 	data for 286589cb2_ac9f54f0a will be stored at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a
INFO 	2016-06-08 11:30:37 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-08 11:30:45 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-08 11:31:09 	[preliminary_checks] 	286589cb2_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-08 11:33:19 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-08 11:33:21 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-08 11:33:23 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-08 11:33:23 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-08 11:33:24 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-08 11:33:41 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-08 11:33:41 	[preliminary_checks] 	step time for completion (seconds) = 154

INFO 	2016-06-08 11:33:42 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:33:42 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-08 11:33:42 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-08 11:34:02 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-08 11:34:02 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-08 11:34:04 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-08 11:34:04 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-08 11:34:04 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-08 11:52:50 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-08 11:52:50 	[trim_reads_trimmomatic] 	reads after trimming = 34869449
INFO 	2016-06-08 11:53:10 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-08 11:53:10 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-08 11:53:10 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-08 11:53:10 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1146

INFO 	2016-06-08 11:53:12 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-08 11:53:12 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-08 11:53:12 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-08 11:53:12 	[align_and_merge] 	read length = 75
INFO 	2016-06-08 11:53:12 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-08 11:53:12 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-08 13:33:40 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/logs/mm10/286589cb2_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-06-08 13:34:14 	[align_and_merge] 	step time for completion (seconds) = 6062

INFO 	2016-06-08 13:34:17 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-08 13:44:11 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.982169606408
INFO 	2016-06-08 13:44:11 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.918910161156
INFO 	2016-06-08 13:44:11 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 22679931
INFO 	2016-06-08 13:44:11 	[post_mapping_statistics] 	counts-to-distance slope = -1.08863258645
TIME 	2016-06-08 13:44:19 	[post_mapping_statistics] 	step time for completion (seconds) = 602

INFO 	2016-06-08 13:44:25 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-08 13:44:25 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/filtered_reads
INFO 	2016-06-08 13:44:25 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-08 13:44:25 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/excluded_reads/self_circle
INFO 	2016-06-08 13:44:25 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-08 13:49:32 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-08 13:49:50 	[reads_filtering] 	step time for completion (seconds) = 330

INFO 	2016-06-08 13:49:52 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/plots/mm10/post_filtering_statistics:
INFO 	2016-06-08 13:49:52 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-08 13:49:52 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-08 13:49:52 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-08 13:55:24 	[post_filtering_statistics] 	step time for completion (seconds) = 332

INFO 	2016-06-08 13:55:38 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 17 files...
TIME 	2016-06-08 14:18:08 	[map_to_bam] 	step time for completion (seconds) = 1350

INFO 	2016-06-08 14:18:10 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-08 14:44:29 	[downstream_bam] 	number of TADs = 133
TIME 	2016-06-08 14:44:40 	[downstream_bam] 	step time for completion (seconds) = 1590

INFO 	2016-06-08 14:44:42 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-08 14:44:42 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/fastqs_processed
INFO 	2016-06-08 14:44:42 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/286589cb2_ac9f54f0a/mapped_reads
TIME 	2016-06-08 14:44:47 	[clean_up] 	step time for completion (seconds) = 5


INFO 	2016-06-08 14:44:49 	[pipeline] 	completed successfully
TIME 	2016-06-08 14:44:49 	[pipeline] 	total time for completion (seconds) = 11652

