
INFO 	2016-05-19 12:28:23 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-19 12:28:24 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-19 12:28:24 	[configuration] 	data for 4a13fb79e_f34e98deb will be stored at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb
INFO 	2016-05-19 12:28:24 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-19 12:29:08 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-19 12:29:55 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/4a13fb79e_f34e98deb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-19 12:29:55 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-19 12:29:55 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-19 12:29:55 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-19 12:59:50 	[post_filtering_statistics] 	step time for completion (seconds) = 1795


INFO 	2016-05-19 13:00:14 	[pipeline] 	completed successfully
TIME 	2016-05-19 13:00:14 	[pipeline] 	total time for completion (seconds) = 1911

