
INFO 	2016-07-08 13:11:30 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 13:11:30 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:11:30 	[configuration] 	data for 74e57f5e3_c5886713b will be stored at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b
INFO 	2016-07-08 13:11:30 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 13:11:41 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-08 13:12:08 	[preliminary_checks] 	74e57f5e3_c5886713b found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:28:56 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:28:58 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:29:00 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:29:00 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 13:29:39 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:29:39 	[preliminary_checks] 	step time for completion (seconds) = 1053

INFO 	2016-07-08 13:29:41 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:29:41 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:29:42 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-07-08 13:30:03 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:30:03 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-07-08 13:30:05 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 13:30:05 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 13:30:05 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-07-08 15:52:04 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-07-08 15:52:04 	[trim_reads_trimmomatic] 	reads after trimming = 294459573
INFO 	2016-07-08 15:52:28 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-07-08 15:52:28 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/fastqs_processed/trimmomatic/paired_end
INFO 	2016-07-08 15:52:28 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-07-08 15:52:28 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8543

INFO 	2016-07-08 15:52:30 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-07-08 15:52:30 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-07-08 15:52:30 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-07-08 15:52:30 	[align_and_merge] 	read length = 76
INFO 	2016-07-08 15:52:30 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 15:52:30 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-07-09 11:15:33 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/logs/hg38_mmtv/74e57f5e3_c5886713b_align_and_merge_paired_end.log
TIME 	2016-07-09 11:21:45 	[align_and_merge] 	step time for completion (seconds) = 70155

INFO 	2016-07-09 11:22:04 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-07-09 12:50:57 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.08410539942
INFO 	2016-07-09 12:50:57 	[post_mapping_statistics] 	fraction of reads mapped read2 = 1.06209534237
INFO 	2016-07-09 12:50:57 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 358870475
INFO 	2016-07-09 12:50:57 	[post_mapping_statistics] 	counts-to-distance slope = -1.25864315997
TIME 	2016-07-09 12:51:19 	[post_mapping_statistics] 	step time for completion (seconds) = 5355

INFO 	2016-07-09 12:52:08 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-07-09 12:52:08 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/results/hg38_mmtv/filtered_reads
INFO 	2016-07-09 12:52:08 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-07-09 12:52:08 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-07-09 12:52:08 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-07-09 13:43:51 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-07-09 13:46:55 	[reads_filtering] 	step time for completion (seconds) = 3335

INFO 	2016-07-09 13:46:58 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/74e57f5e3_c5886713b/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-07-09 13:46:58 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
