
INFO 	2016-07-08 12:59:50 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 12:59:50 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 12:59:50 	[configuration] 	data for 8d2ac542f_bf3026223 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_bf3026223
INFO 	2016-07-08 12:59:50 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 12:59:59 	[configuration] 	species (Drosophila_melanogaster) and assembly version (dm6) extracted from the metadata

INFO 	2016-07-08 13:00:34 	[preliminary_checks] 	8d2ac542f_bf3026223 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:01:39 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:01:41 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:01:43 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:01:43 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/drosophila_melanogaster/dm6/ucsc/dm6_chr2-4XYM.fa
INFO 	2016-07-08 13:01:46 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:01:46 	[preliminary_checks] 	step time for completion (seconds) = 73

INFO 	2016-07-08 13:01:47 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:01:47 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:01:48 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_bf3026223/plots/dm6/raw_fastqs_quality_plots
INFO 	2016-07-08 13:02:09 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:02:09 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-07-08 13:02:11 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 13:02:11 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 13:02:11 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-07-08 13:10:41 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-07-08 13:10:41 	[trim_reads_trimmomatic] 	reads after trimming = 15572197
INFO 	2016-07-08 13:11:05 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-07-08 13:11:05 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_bf3026223/fastqs_processed/trimmomatic/paired_end
INFO 	2016-07-08 13:11:05 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-07-08 13:11:05 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 534

INFO 	2016-07-08 13:11:07 	[align_and_merge] 	species = Drosophila_melanogaster
INFO 	2016-07-08 13:11:07 	[align_and_merge] 	assembly version = dm6
INFO 	2016-07-08 13:11:07 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:11:07 	[align_and_merge] 	read length = 75
INFO 	2016-07-08 13:11:07 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/drosophila_melanogaster/dm6/ucsc/dm6_chr2-4XYM.fa
INFO 	2016-07-08 13:11:07 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
