
INFO 	2016-09-12 15:39:37 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-09-12 15:39:37 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-09-12 15:39:37 	[configuration] 	data for PRL_1 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1
INFO 	2016-09-12 15:39:37 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-09-12 15:40:16 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-09-12 15:40:59 	[preliminary_checks] 	PRL_1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-09-12 15:42:40 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-09-12 15:42:41 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-09-12 15:42:43 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-09-12 15:42:43 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-09-12 15:43:14 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-09-12 15:43:14 	[preliminary_checks] 	step time for completion (seconds) = 137

INFO 	2016-09-12 15:43:15 	[raw_fastqs_quality_plots] 	restriction enzyme = MboI
INFO 	2016-09-12 15:43:15 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-09-12 15:43:15 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-09-12 15:43:38 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-09-12 15:43:38 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 23

INFO 	2016-09-12 15:43:40 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-09-12 15:43:40 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-09-12 15:43:40 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-09-12 15:56:59 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-09-12 15:56:59 	[trim_reads_trimmomatic] 	reads after trimming = 23095320
INFO 	2016-09-12 15:57:19 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-09-12 15:57:19 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/fastqs_processed/trimmomatic/paired_end
INFO 	2016-09-12 15:57:19 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-09-12 15:57:19 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 819

INFO 	2016-09-12 15:57:20 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-09-12 15:57:20 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-09-12 15:57:20 	[align_and_merge] 	restriction enzyme = MboI
INFO 	2016-09-12 15:57:20 	[align_and_merge] 	read length = 75
INFO 	2016-09-12 15:57:20 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-09-12 15:57:20 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-09-12 17:02:14 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/logs/hg38_mmtv/PRL_1_align_and_merge_paired_end.log
TIME 	2016-09-12 17:02:22 	[align_and_merge] 	step time for completion (seconds) = 3902

INFO 	2016-09-12 17:02:41 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-09-12 17:08:59 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.875287893824
INFO 	2016-09-12 17:08:59 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.650103267675
INFO 	2016-09-12 17:08:59 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 14223126
INFO 	2016-09-12 17:08:59 	[post_mapping_statistics] 	counts-to-distance slope = -1.19445165281
TIME 	2016-09-12 17:09:07 	[post_mapping_statistics] 	step time for completion (seconds) = 386

INFO 	2016-09-12 17:09:11 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-09-12 17:09:11 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/results/hg38_mmtv/filtered_reads
INFO 	2016-09-12 17:09:11 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-09-12 17:09:11 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-09-12 17:09:11 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-09-12 17:12:10 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-09-12 17:12:15 	[reads_filtering] 	step time for completion (seconds) = 187

INFO 	2016-09-12 17:12:17 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-09-12 17:12:17 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-09-12 17:12:17 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-09-12 17:12:17 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-09-12 17:15:18 	[post_filtering_statistics] 	step time for completion (seconds) = 181

INFO 	2016-09-12 17:15:20 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 8 files...
TIME 	2016-09-12 17:24:58 	[map_to_bam] 	step time for completion (seconds) = 578

INFO 	2016-09-12 17:25:01 	[downstream_bam] 	perform several downstream analyses
ls: cannot access /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/downstream/hg38_mmtv/PRL_1_tads*tsv: No such file or directory
basename: missing operand
Try `basename --help' for more information.
grep: /users/project/4DGenome_no_backup/data/hic/samples/PRL_1/downstream/hg38_mmtv/PRL_1_tads_*.tsv: No such file or directory
rm: cannot remove `/users/project/4DGenome_no_backup/data/hic/samples/PRL_1/downstream/hg38_mmtv/PRL_1_tads_chr*': No such file or directory
INFO 	2016-09-12 17:46:50 	[downstream_bam] 	number of TADs = 0
TIME 	2016-09-12 17:47:17 	[downstream_bam] 	step time for completion (seconds) = 1336

INFO 	2016-09-12 17:47:18 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-09-12 17:47:18 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/PRL_1/fastqs_processed
INFO 	2016-09-12 17:47:18 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/PRL_1/mapped_reads
TIME 	2016-09-12 17:47:22 	[clean_up] 	step time for completion (seconds) = 4


INFO 	2016-09-12 17:47:23 	[pipeline] 	completed successfully
TIME 	2016-09-12 17:47:23 	[pipeline] 	total time for completion (seconds) = 7666

