
INFO 	2016-05-25 13:06:41 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-05-25 13:06:41 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-25 13:06:41 	[configuration] 	data for a1e46328c_51720e9cf will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf
INFO 	2016-05-25 13:06:41 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-05-25 13:07:02 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-05-25 13:07:39 	[preliminary_checks] 	a1e46328c_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-05-25 13:20:32 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-25 13:20:33 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-25 13:20:35 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-05-25 13:20:35 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-25 13:20:50 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-05-25 13:20:50 	[preliminary_checks] 	step time for completion (seconds) = 792

INFO 	2016-05-25 13:20:51 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-05-25 13:20:51 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-05-25 13:20:51 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-05-25 13:21:10 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-05-25 13:21:10 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 19

INFO 	2016-05-25 13:21:11 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-25 13:21:11 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-25 13:21:11 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-25 14:50:56 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-25 14:50:56 	[trim_reads_trimmomatic] 	reads after trimming = 178728225
INFO 	2016-05-25 14:51:16 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-25 14:51:16 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-25 14:51:16 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-25 14:51:17 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 5406

INFO 	2016-05-25 14:51:18 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-05-25 14:51:18 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-05-25 14:51:18 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-05-25 14:51:18 	[align_and_merge] 	read length = 75
INFO 	2016-05-25 14:51:18 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-05-25 14:51:18 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-05-26 04:49:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/logs/hg38_mmtv/a1e46328c_51720e9cf_align_and_merge_paired_end.log
TIME 	2016-05-26 04:53:55 	[align_and_merge] 	step time for completion (seconds) = 50557

INFO 	2016-05-26 04:54:08 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-05-26 05:42:06 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.02486050538
INFO 	2016-05-26 05:42:06 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.984358206433
INFO 	2016-05-26 05:42:06 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 1
INFO 	2016-05-26 05:42:06 	[post_mapping_statistics] 	counts-to-distance slope = -1.25034736223
TIME 	2016-05-26 05:42:23 	[post_mapping_statistics] 	step time for completion (seconds) = 2895

INFO 	2016-05-26 05:42:52 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-05-26 05:42:52 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/filtered_reads
INFO 	2016-05-26 05:42:52 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-05-26 05:42:52 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-05-26 05:42:52 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-05-26 06:13:20 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-05-26 06:18:52 	[reads_filtering] 	step time for completion (seconds) = 2187

INFO 	2016-05-26 06:19:04 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-05-26 06:19:04 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-05-26 06:19:04 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-05-26 06:19:04 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-05-26 06:43:28 	[post_filtering_statistics] 	step time for completion (seconds) = 1464

INFO 	2016-05-26 06:43:30 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 97 files...
TIME 	2016-05-26 09:02:28 	[map_to_bam] 	step time for completion (seconds) = 8338

INFO 	2016-05-26 09:02:32 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-05-26 15:54:37 	[downstream_bam] 	number of TADs = 3152
TIME 	2016-05-26 15:54:50 	[downstream_bam] 	step time for completion (seconds) = 24738

INFO 	2016-05-26 15:54:51 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-05-26 15:54:51 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/fastqs_processed
INFO 	2016-05-26 15:54:51 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a1e46328c_51720e9cf/mapped_reads
TIME 	2016-05-26 15:55:17 	[clean_up] 	step time for completion (seconds) = 26


INFO 	2016-05-26 15:55:18 	[pipeline] 	completed successfully
TIME 	2016-05-26 15:55:18 	[pipeline] 	total time for completion (seconds) = 96517

