
INFO 	2016-07-08 13:12:30 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-08 13:12:30 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:12:30 	[configuration] 	data for a7a9044d5_0e31e17c7 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7
INFO 	2016-07-08 13:12:30 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-08 13:12:41 	[configuration] 	species (Homo_sapiens) and assembly version (hg38_mmtv) extracted from the metadata

INFO 	2016-07-08 13:13:04 	[preliminary_checks] 	a7a9044d5_0e31e17c7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-08 13:30:34 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-07-08 13:30:36 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:30:38 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-07-08 13:30:38 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 13:31:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-07-08 13:31:07 	[preliminary_checks] 	step time for completion (seconds) = 1084

INFO 	2016-07-08 13:31:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-07-08 13:31:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-07-08 13:31:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/plots/hg38_mmtv/raw_fastqs_quality_plots
INFO 	2016-07-08 13:31:29 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-07-08 13:31:29 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-07-08 13:31:31 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-07-08 13:31:31 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-07-08 13:31:31 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-07-08 15:56:00 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-07-08 15:56:00 	[trim_reads_trimmomatic] 	reads after trimming = 277725523
INFO 	2016-07-08 15:56:35 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-07-08 15:56:35 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/fastqs_processed/trimmomatic/paired_end
INFO 	2016-07-08 15:56:35 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-07-08 15:56:35 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 8704

INFO 	2016-07-08 15:56:37 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-07-08 15:56:37 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-07-08 15:56:37 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-07-08 15:56:37 	[align_and_merge] 	read length = 76
INFO 	2016-07-08 15:56:37 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYM.fa
INFO 	2016-07-08 15:56:37 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-07-09 08:32:25 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/logs/hg38_mmtv/a7a9044d5_0e31e17c7_align_and_merge_paired_end.log
TIME 	2016-07-09 08:38:36 	[align_and_merge] 	step time for completion (seconds) = 60119

INFO 	2016-07-09 08:38:54 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-07-09 09:52:23 	[post_mapping_statistics] 	fraction of reads mapped read1 = 1.02347625429
INFO 	2016-07-09 09:52:23 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.974458674437
INFO 	2016-07-09 09:52:23 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 288853027
INFO 	2016-07-09 09:52:23 	[post_mapping_statistics] 	counts-to-distance slope = -1.27457154502
TIME 	2016-07-09 09:52:44 	[post_mapping_statistics] 	step time for completion (seconds) = 4430

INFO 	2016-07-09 09:53:25 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-07-09 09:53:25 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/results/hg38_mmtv/filtered_reads
INFO 	2016-07-09 09:53:25 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-07-09 09:53:25 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-07-09 09:53:25 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_0e31e17c7/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
