
INFO 	2016-07-12 16:47:12 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-12 16:47:12 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-12 16:47:12 	[configuration] 	data for a7c643d27_29726bc8f will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_29726bc8f
INFO 	2016-07-12 16:47:12 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-12 16:47:20 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-07-12 16:47:55 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0102/job_scripts/5995034: line 773:  4664 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam_v2.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
INFO 	2016-07-12 23:39:40 	[downstream_bam] 	number of TADs = 2092
TIME 	2016-07-12 23:40:08 	[downstream_bam] 	step time for completion (seconds) = 24734


INFO 	2016-07-12 23:40:09 	[pipeline] 	completed successfully
TIME 	2016-07-12 23:40:09 	[pipeline] 	total time for completion (seconds) = 24777

