
INFO 	2016-06-13 11:27:42 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 11:27:42 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:27:42 	[configuration] 	data for a7c643d27_bf1e6102c will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_bf1e6102c
INFO 	2016-06-13 11:27:42 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 11:27:49 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 11:28:12 	[preliminary_checks] 	a7c643d27_bf1e6102c found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 11:45:34 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 11:45:35 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
WARN 	2016-06-13 11:45:37 	[preliminary_checks] 	read length obtained from the metadata (75 bp) differs from that seen in the FASTQ (76 bp)
WARN 	2016-06-13 11:45:37 	[preliminary_checks] 	the latter will be kept
INFO 	2016-06-13 11:45:39 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 11:46:07 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 11:46:07 	[preliminary_checks] 	step time for completion (seconds) = 1076

INFO 	2016-06-13 11:46:09 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 11:46:09 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 11:46:09 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_bf1e6102c/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 11:46:31 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 11:46:31 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 22

INFO 	2016-06-13 11:46:33 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 11:46:33 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 11:46:33 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 13:50:33 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 13:50:33 	[trim_reads_trimmomatic] 	reads after trimming = 257590440
INFO 	2016-06-13 13:50:57 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
