
INFO 	2016-06-13 10:11:59 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:11:59 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:11:59 	[configuration] 	data for a7c643d27_ed0f2b6ec will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec
INFO 	2016-06-13 10:11:59 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:12:06 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 10:12:28 	[preliminary_checks] 	a7c643d27_ed0f2b6ec found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:38:33 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:38:35 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:38:36 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:38:36 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:38:53 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:38:53 	[preliminary_checks] 	step time for completion (seconds) = 1586

INFO 	2016-06-13 10:38:54 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:38:54 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:38:54 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 10:39:14 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:39:14 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 20

INFO 	2016-06-13 10:39:16 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:39:16 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:39:16 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 13:34:06 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 13:34:06 	[trim_reads_trimmomatic] 	reads after trimming = 335591144
INFO 	2016-06-13 13:34:31 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 13:34:31 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 13:34:31 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 13:34:31 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10516

INFO 	2016-06-13 13:34:33 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-13 13:34:33 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-13 13:34:33 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-13 13:34:33 	[align_and_merge] 	read length = 75
INFO 	2016-06-13 13:34:33 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 13:34:33 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-14 11:25:08 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/logs/mm10/a7c643d27_ed0f2b6ec_align_and_merge_paired_end.log
TIME 	2016-06-14 11:31:47 	[align_and_merge] 	step time for completion (seconds) = 79034

INFO 	2016-06-14 11:32:00 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-14 12:55:57 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.975104447333
INFO 	2016-06-14 12:55:57 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.975201270508
INFO 	2016-06-14 12:55:57 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 227882348
INFO 	2016-06-14 12:55:57 	[post_mapping_statistics] 	counts-to-distance slope = -1.06116939877
TIME 	2016-06-14 12:56:04 	[post_mapping_statistics] 	step time for completion (seconds) = 5044

