
INFO 	2016-07-12 16:48:04 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-07-12 16:48:04 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-07-12 16:48:04 	[configuration] 	data for a7c643d27_ed0f2b6ec will be stored at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec
INFO 	2016-07-12 16:48:04 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-07-12 16:48:11 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-07-12 16:48:33 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0205/job_scripts/5995039: line 773: 17158 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam_v2.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
INFO 	2016-07-12 23:14:12 	[downstream_bam] 	number of TADs = 2089
TIME 	2016-07-12 23:14:34 	[downstream_bam] 	step time for completion (seconds) = 23162


INFO 	2016-07-12 23:14:36 	[pipeline] 	completed successfully
TIME 	2016-07-12 23:14:36 	[pipeline] 	total time for completion (seconds) = 23192

