
INFO 	2016-06-13 10:13:29 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-13 10:13:29 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:13:29 	[configuration] 	data for b742f3789_1ce290c57 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_1ce290c57
INFO 	2016-06-13 10:13:29 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-13 10:13:37 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-13 10:14:05 	[preliminary_checks] 	b742f3789_1ce290c57 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-13 10:37:48 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-13 10:37:50 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:37:51 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-13 10:37:51 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-13 10:38:09 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-13 10:38:09 	[preliminary_checks] 	step time for completion (seconds) = 1446

INFO 	2016-06-13 10:38:11 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-13 10:38:11 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-13 10:38:11 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_1ce290c57/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-13 10:38:50 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-13 10:38:50 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 39

INFO 	2016-06-13 10:38:53 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-13 10:38:53 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-13 10:38:53 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-13 13:37:09 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-13 13:37:09 	[trim_reads_trimmomatic] 	reads after trimming = 311930208
INFO 	2016-06-13 13:37:33 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-13 13:37:33 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_1ce290c57/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-13 13:37:33 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-13 13:37:33 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 10720

INFO 	2016-06-13 13:37:35 	[align_and_merge] 	species = Mus_musculus
