
INFO 	2016-06-11 03:18:18 	[configuration] 	script to access/write from/to metadata: /users/project/4DGenome/utils/io_metadata.sh
INFO 	2016-06-11 03:18:18 	[configuration] 	metadata database: /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-11 03:18:18 	[configuration] 	data for b742f3789_8478dfc31 will be stored at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31
INFO 	2016-06-11 03:18:18 	[configuration] 	paths to input FASTQ files extracted from the metadata
INFO 	2016-06-11 03:18:51 	[configuration] 	species (Mus_musculus) and assembly version (mm10) extracted from the metadata

INFO 	2016-06-11 03:19:25 	[preliminary_checks] 	b742f3789_8478dfc31 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-06-11 03:49:41 	[preliminary_checks] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-11 03:49:43 	[preliminary_checks] 	Sequencing index added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-11 03:49:44 	[preliminary_checks] 	read length added as part of the metadata agrees with that observed in the FASTQ file
INFO 	2016-06-11 03:49:44 	[preliminary_checks] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-11 03:50:12 	[preliminary_checks] 	paths to reference FASTA saved to metadata database
TIME 	2016-06-11 03:50:12 	[preliminary_checks] 	step time for completion (seconds) = 1849

INFO 	2016-06-11 03:50:14 	[raw_fastqs_quality_plots] 	restriction enzyme = DpnII
INFO 	2016-06-11 03:50:14 	[raw_fastqs_quality_plots] 	a subset of 100000 reds will be used to generate the quality plots
INFO 	2016-06-11 03:50:14 	[raw_fastqs_quality_plots] 	making quality plots of the raw FASTQ files... plots saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/plots/mm10/raw_fastqs_quality_plots
INFO 	2016-06-11 03:50:38 	[raw_fastqs_quality_plots] 	percentages of dangling ends and ligated sites in read1 and read2 saved to metadata database
TIME 	2016-06-11 03:50:38 	[raw_fastqs_quality_plots] 	step time for completion (seconds) = 24

INFO 	2016-06-11 03:50:39 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-11 03:50:39 	[trim_reads_trimmomatic] 	trimming TruSeq3 adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-11 03:50:39 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-11 07:14:22 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-11 07:14:23 	[trim_reads_trimmomatic] 	reads after trimming = 390217254
INFO 	2016-06-11 07:14:46 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-11 07:14:46 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-11 07:14:46 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-11 07:14:47 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 12248

INFO 	2016-06-11 07:14:49 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-06-11 07:14:49 	[align_and_merge] 	assembly version = mm10
INFO 	2016-06-11 07:14:49 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-06-11 07:14:49 	[align_and_merge] 	read length = 75
INFO 	2016-06-11 07:14:49 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10_chr1-19XYM.fa
INFO 	2016-06-11 07:14:49 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-06-12 04:47:54 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/logs/mm10/b742f3789_8478dfc31_align_and_merge_paired_end.log
TIME 	2016-06-12 04:57:05 	[align_and_merge] 	step time for completion (seconds) = 78136

INFO 	2016-06-12 04:57:21 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-06-12 06:32:59 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.96532930858
INFO 	2016-06-12 06:32:59 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.955146288841
INFO 	2016-06-12 06:32:59 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 263208133
INFO 	2016-06-12 06:32:59 	[post_mapping_statistics] 	counts-to-distance slope = -0.906419884342
TIME 	2016-06-12 06:33:13 	[post_mapping_statistics] 	step time for completion (seconds) = 5752

INFO 	2016-06-12 06:34:07 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-06-12 06:34:07 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/filtered_reads
INFO 	2016-06-12 06:34:07 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/excluded_reads/dangling_ends
INFO 	2016-06-12 06:34:07 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/excluded_reads/self_circle
INFO 	2016-06-12 06:34:07 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-06-12 07:29:18 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-06-12 07:35:10 	[reads_filtering] 	step time for completion (seconds) = 3715

INFO 	2016-06-12 07:35:13 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/plots/mm10/post_filtering_statistics:
INFO 	2016-06-12 07:35:13 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-06-12 07:35:13 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-06-12 07:35:13 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-06-12 08:25:32 	[post_filtering_statistics] 	step time for completion (seconds) = 3019

INFO 	2016-06-12 08:25:42 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 192 files...
TIME 	2016-06-12 12:57:22 	[map_to_bam] 	step time for completion (seconds) = 16300

INFO 	2016-06-12 12:57:26 	[downstream_bam] 	perform several downstream analyses
INFO 	2016-06-12 15:42:05 	[downstream_bam] 	number of TADs = 2136
TIME 	2016-06-12 15:42:18 	[downstream_bam] 	step time for completion (seconds) = 9892

INFO 	2016-06-12 15:42:20 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-06-12 15:42:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/fastqs_processed
INFO 	2016-06-12 15:42:20 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8478dfc31/mapped_reads
TIME 	2016-06-12 15:42:59 	[clean_up] 	step time for completion (seconds) = 39


INFO 	2016-06-12 15:43:01 	[pipeline] 	completed successfully
TIME 	2016-06-12 15:43:01 	[pipeline] 	total time for completion (seconds) = 131083

